"","X","ranking","median","mean","sd"
"1","RPL19",3344,0.111462820609751,0.107628400638468,0.0237636847740556
"2","UBC",5373,0.122488910608582,0.133712217401594,0.0381783066993711
"3","HPRT1",9737,0.140216206323439,0.147150153008911,0.0510184729459146
"4","GAPDH",20095,0.195226783775123,0.182513277941456,0.0255114960087447
"5","PPIA",21233,0.209400311076073,0.19583231605908,0.032632378770059
