"Gene","metaRanking","RP"
"SLC9C1",221,418.7
"OR51A8P",222,420.1
"RNU5A-3P",223,421.7
"PPIAP11",224,423.1
"IGKV2OR22-4",225,425.6
"ASIC3",226,427.1
"BCRP2",227,429.6
"RNU6-909P",228,431.8
"RPL34P34",229,433.6
"RNA5SP256",230,435.2
"RNA5SP170",231,436.7
"MPC1L",232,439
"CPSF7",233,441.2
"RPSAP58",234,442.4
"RN7SL105P",235,446.1
"RPS2P32",236,447.6
"RNU6-1093P",237,449.2
"RP13-258O15.1",238,450.6
"RNU6-72P",239,452.5
"MRPS31P5",240,454.3
"RNA5SP379",241,456.3
"RN7SL146P",242,459.1
"MOB2",243,460.8
"BAK1P2",244,461
"TNFAIP8L2-SCNM1",245,464
"CSNK2A3",246,465.5
"RNU6-680P",247,467.5
"RNU6-361P",248,469.6
"FAM210B",249,471.2
"FAM83A-AS1",250,471.9
"NDUFS5P2",251,473.4
"RNA5SP237",252,475
"RNU6-865P",253,476.9
"SPDYE4",254,478.9
"RNU6-1215P",255,480.6
"HIST1H2BPS1",256,482.2
"RN7SKP20",257,484.5
"RNU6-810P",258,485.9
"TMSB4XP2",259,488.2
"RNU6-61P",260,491.8
"RNU6-1212P",261,493.5
"OR7E43P",262,495.8
"RN7SKP271",263,497.4
"RFTN1P1",264,499.8
"TMEM110-MUSTN1",265,501.4
"TMEM249",266,502.9
"RP11-403P17.4",267,504.5
"PTMAP5",268,506.5
"MT-TS2",269,507.9
"NOS2P1",270,509.3
"RNU2-37P",271,512.2
"RNA5SP280",272,513.6
"RNU6-1294P",273,515
"OR7E162P",274,517.2
"RNU6-579P",275,519.4
"NOS2P3",276,521
"OR7E97P",277,522.4
"SEPT14",278,523.9
"RNU6-796P",279,527.6
"RN7SKP291",280,530.4
"TSPY14P",281,531.9
"CRYM-AS1",282,533.2
"FTH1P18",283,535.4
"SIGLEC27P",284,536.8
"RNU4-88P",285,539.9
"RPL13P5",286,541.7
"FLJ38894",287,543.1
"OR7E31P",288,544.7
"RNU6-278P",289,546.3
"ANKRD18DP",290,547.7
"OR7E93P",291,550.5
"GOLGA8S",292,552.2
"MYL12B",293,554.4
"KRTAP2-4",294,555.7
"RPS2P5",295,557.3
"RNA5SP329",296,559
"RN7SL180P",297,560.4
"RN7SL165P",298,561.9
"RN7SL414P",299,563.3
"OR9I3P",300,566.8
"RNU6-1300P",301,568.2
"RN7SKP160",302,571
"RPL22P19",303,572.6
"RNA5SP299",304,574
"ACSM6",305,575.7
"RNU6-138P",306,577.2
"RPS3AP25",307,578.7
"RNU6-349P",308,581.3
"LOC100996696",309,582.1
"MT-TC",310,582.9
"RNA5SP282",311,585.2
"APOPT1",312,585.4
"NDUFAF6",313,586.9
"WRAP53",314,587.1
"RN7SKP143",315,588.3
"RN7SKP39",316,590.8
"GS52",317,592.2
"MIR124-3",318,594.1
"RNA5SP261",319,596.9
"DNM1P33",320,598.4
"RNU6-763P",321,599.7
"RNA5SP424",322,602.9
"GOLGA8O",323,606.4
"NOA1",324,606.7
"OR8F1P",325,609.1
"RNU5E-7P",326,610.7
"RNU6-569P",327,613.1
"ANKRD62",328,615.3
"RN7SL299P",329,618.6
"RNU6-857P",330,621.2
"RNU6-445P",331,623.9
"FAM86FP",332,627
"RNU6ATAC28P",333,628.9
"TOB2P1",334,631.2
"RN7SKP28",335,632.7
"RN7SL594P",336,635
"CHCHD2P9",337,636.8
"RPS14P3",338,638.1
"RN7SL111P",339,640.2
"WHAMMP3",340,644.8
"RNU6-474P",341,646.9
"RNU6-884P",342,649
"MEIOB",343,650.5
"RNU6-471P",344,653.2
"LOC399851",345,654.6
"LOC101928953",346,657.6
"RNU6-396P",347,658.9
"CISD1P1",348,660.3
"SMG1P1",349,663.2
"RNU6ATAC24P",350,664.9
"RN7SKP17",351,667.3
"RPS2P4",352,668.8
"RPL12",353,668.9
"HIST3H2BA",354,670.2
"PTGES3L-AARSD1",355,671.7
"RN7SL482P",356,673.2
"RNU4-73P",357,674.6
"LOC100131232",358,679.1
"RNU6-486P",359,681.7
"RN7SL706P",360,683.8
"RNA5SP277",361,687.4
"RNU6-499P",362,689
"RNU1-95P",363,691.5
"RNU6-827P",364,692.9
"RNU6-129P",365,695.1
"KCTD9P2",366,697
"LOC101927180",367,698.5
"RNU6-1271P",368,700
"RNU5E-10P",369,702
"RN7SL432P",370,704
"LRRC71",371,705.1
"RN7SKP200",372,705.4
"LOC440300",373,707.3
"RIMKLBP1",374,709
"TMEM8C",375,711.1
"LOC101929115",376,712.5
"RPL12P2",377,714.4
"HSFX2",378,715.9
"ZNF625-ZNF20",379,717.6
"OR7E55P",380,719.2
"RNU6-406P",381,720.6
"RN7SL192P",382,722.6
"METTL22",383,724.6
"SNORD115-15",384,727.9
"RNU5F-3P",385,730.2
"KANSL1",386,731.7
"RN7SL861P",387,731.9
"SKOR2",388,733.6
"RNU6-185P",389,734.9
"RN7SKP102",390,736.4
"RN7SL382P",391,738.1
"HMGXB3",392,738.3
"RNU6-1233P",393,739.5
"RPS16P9",394,741.2
"CENPBD1P1",395,742.4
"ITM2B",396,743.3
"PABPC1P2",397,744.4
"FAUP1",398,746.6
"LINC00535",399,749.2
"RNA5SP137",400,750.9
"RNU2-69P",401,752.4
"OR5P1P",402,754.3
"LOC101060524",403,756.3
"PCNPP5",404,759.4
"RN7SL396P",405,760.8
"RP1-102H19.8",406,762.1
"RNU6-790P",407,763.7
"RN7SL8P",408,765.7
"OR5BS1P",409,767.2
"MIR203A",410,771.6
"RPL21P28",411,773.4
"RNU6-1261P",412,775.2
"BCRP8",413,777.6
"LINC00523",414,779.1
"OR7E102P",415,782.6
"OR5AZ1P",416,784
"RNA5SP185",417,785.9
"PGPEP1L",418,788
"RNU6-132P",419,789.6
"EIF3KP1",420,791.3
"LINC00575",421,792.8
"RNU6-932P",422,794.2
"KRT18P20",423,795.8
"KTN1-AS1",424,797.6
"KRT18P59",425,800
"FKBP9P1",426,801.5
"RNU6-828P",427,802.9
"CBX1P1",428,804.2
"RPL30P1",429,806.9
"RNU2-43P",430,811.1
"RN7SL221P",431,812.5
"RN7SL793P",432,815
"EEF1A1P11",433,817.6
"OR7E128P",434,819.5
"RNU6-1311P",435,820.9
"SNORD115-8",436,822.8
"RNA5SP474",437,824.6
"MAP1LC3BP1",438,826.2
"NELFE",439,829.1
"RNU6-1113P",440,830.5
"RN7SL49P",441,831.9
"RNU6-152P",442,834.5
"SNORD115-40",443,836
"HSPE1P7",444,837.9
"RN7SL58P",445,839.3
"FXYD6P3",446,841.6
"RN7SL598P",447,843
"RNA5SP270",448,844.7
"RNU6-71P",449,846.6
"RNU6-696P",450,848.6
"SNORD115-32",451,852.2
"LOC102723566",452,855.1
"RNU6-1001P",453,857.3
"KRT18P55",454,859.1
"RNU6-1031P",455,860.7
"RNU6ATAC31P",456,862.6
"RN7SKP133",457,864.7
"RNA5SP490",458,867.1
"RN7SKP145",459,869
"NUTM2G",460,870.6
"RNU6-348P",461,872.4
"ENSAP3",462,874.1
"OR7A15P",463,875.6
"RPS15",464,878.2
"RNU6-1177P",465,878.5
"RNF222",466,880.2
"LOC100132731",467,882.5
"RN7SL589P",468,883.9
"PRR21",469,885.5
"TPT1P13",470,888.1
"OR5D17P",471,890.2
"RPS4XP21",472,892.7
"RNU6-209P",473,894.2
"RN7SKP134",474,895.6
"EMC10",475,895.8
"RNU6ATAC23P",476,897.2
"RNU2-51P",477,899.5
"YWHAQP8",478,902.1
"RPL13AP25",479,904.9
"DAZAP2P1",480,906.8
"CLEC18B",481,908.7
"RPS18",482,911.5
"RNU6-1066P",483,913.8
"RNU6-1131P",484,915.3
"HNRNPA1P12",485,916.8
"IBA57",486,918
"RN7SL569P",487,919.1
"RNF216P1",488,920.5
"RNA5SP458",489,923.2
"RN7SL332P",490,924.9
"OR7E155P",491,926.3
"ANAPC16",492,926.5
"ATP5G1P5",493,927.9
"LINC00885",494,929.7
"RN7SKP11",495,931
"MIR7162",496,933.1
"RBFA",497,934.1
"RNU5A-4P",498,935.4
"RN7SL255P",499,936.8
"RN7SL521P",500,939.6
"FAM136BP",501,943.1
"BAG6",502,944.6
"LOC102723981",503,946.6
"OR7E5P",504,949.4
"RNU6-673P",505,950.8
"NAA38",506,951.4
"LOC100289580",507,953.1
"RPL10AP6",508,954.9
"RP5-1039K5.16",509,956.9
"ST13P5",510,959.1
"RN7SKP32",511,960.9
"GPR75-ASB3",512,963.1
"RNU6-986P",513,965.2
"CLPSL2",514,969.2
"KAT8",515,970.2
"LOC101930332",516,972.1
"LOC100996255",517,973.9
"HSBP1P2",518,976.3
"RN7SL135P",519,978.1
"SNORD115-2",520,979.7
"RNU6-571P",521,982.2
"RN7SL34P",522,983.7
"RN7SL292P",523,985.1
"RN7SL352P",524,986.8
"RN7SL566P",525,988.2
"ZBTB12P1",526,989.6
"RNA5SP92",527,991
"SLC35G6",528,993
"RN7SKP142",529,994.9
"RNU6-1297P",530,996.4
"ARHGAP19-SLIT1",531,997.7
"RN7SL168P",532,1001
"CCDC182",533,1002
"RN7SL156P",534,1003
"RN7SL271P",535,1006
"RPL23AP64",536,1009
"RNU4ATAC4P",537,1011
"CYCSP51",538,1013
"RN7SKP267",539,1018
"OR51H1P",540,1020
"RNU6-855P",541,1021
"RN7SKP165",542,1023
"RPL35P1",543,1024
"RNU6-619P",544,1025
"UNC45A",545,1026
"RNU6-159P",546,1027
"SNORA70D",547,1029
"ENO4",548,1031
"CTDNEP1",549,1031
"OR52L2P",550,1032
"MZT2B",551,1033
"RNA5SP462",552,1035
"CACFD1",553,1036
"RNU2-72P",554,1037
"EEF1GP8",555,1038
"RN7SKP279",556,1040
"RN7SL870P",557,1041
"RAC1P4",558,1044
"LRRC3DN",559,1045
"RN7SL388P",560,1047
"MINOS1",561,1048
"RNA5SP24",562,1049
"RNA5SP188",563,1051
"VN2R1P",564,1052
"SPRYD7",565,1054
"PRSS45",566,1056
"BABAM1",567,1057
"RNA5SP151",568,1059
"RNA5SP375",569,1060
"LRRC37A11P",570,1062
"KRT17P2",571,1064
"OR7E85P",572,1066
"TNRC18P2",573,1068
"RN7SL580P",574,1070
"RNU6-947P",575,1072
"LINC00634",576,1073
"SNORA80A",577,1075
"ZAR1L",578,1077
"RNU6-207P",579,1080
"ZNF355P",580,1081
"RAB44",581,1084
"CDC42P6",582,1086
"KRT18P32",583,1087
"NCOR1P1",584,1089
"MIR34C",585,1090
"SUN2",586,1090
"LOC100288910",587,1092
"EIF2S2P3",588,1094
"RNU2-14P",589,1095
"RNA5SP499",590,1098
"RNU6-607P",591,1099
"RNU6-69P",592,1102
"RNU5F-7P",593,1103
"RN7SL443P",594,1105
"C7orf72",595,1109
"LOC100130156",596,1110
"RNU6-521P",597,1112
"RN7SL265P",598,1113
"RNU2-47P",599,1116
"TMEM210",600,1118
"RNU6-1107P",601,1119
"RPL41",602,1119
"LINC00994",603,1122
"RN7SKP232",604,1126
"RNA5SP318",605,1127
"RNU2-40P",606,1129
"RN7SKP170",607,1131
"RN7SL40P",608,1133
"RNU11-5P",609,1134
"RN7SKP256",610,1136
"RNU2-65P",611,1138
"TRIM51GP",612,1140
"LOC102724985",613,1142
"RN7SL411P",614,1144
"RN7SKP74",615,1145
"RNA5SP259",616,1147
"RNA5SP289",617,1149
"RPS2P2",618,1151
"ZSCAN25",619,1152
"RN7SL416P",620,1154
"RN7SL116P",621,1157
"RNU6-383P",622,1160
"RNU1-38P",623,1161
"RNU6-329P",624,1163
"RNU6-995P",625,1164
"CLEC19A",626,1166
"RN7SL303P",627,1169
"RNU6-225P",628,1171
"RNU6-168P",629,1172
"RN7SKP124",630,1174
"RNA5SP467",631,1177
"RNU6-885P",632,1179
"RN7SL379P",633,1180
"SLX4",634,1182
"RNU6-276P",635,1184
"RNA5SP501",636,1185
"RNU6-985P",637,1188
"RN7SL225P",638,1190
"RN7SL413P",639,1191
"RNU6-250P",640,1193
"RNU6-1095P",641,1194
"ZNRF3-AS1",642,1196
"RNU2-66P",643,1197
"BRK1",644,1198
"RNA5SP383",645,1200
"LOC102724970",646,1201
"RNU6-1047P",647,1203
"RNA5SP337",648,1206
"LOC494127",649,1207
"RNA5SP321",650,1211
"RNU6-117P",651,1212
"GJA1P1",652,1215
"MAN1B1-AS1",653,1220
"PSMB3P2",654,1222
"RNA5SP139",655,1223
"HMGB1P14",656,1225
"TRAJ41",657,1226
"TMA7",658,1227
"MT-TH",659,1229
"RNU6-270P",660,1230
"TATDN2",661,1231
"MIR28",662,1231
"ZNF833P",663,1233
"RNU6-708P",664,1235
"TVP23C",665,1236
"RNU6-823P",666,1237
"UBC",667,1237
"RN7SKP206",668,1239
"RNU6-1127P",669,1241
"RN7SKP72",670,1243
"ZSWIM8",671,1243
"LAMTOR5P1",672,1244
"RNU6-1205P",673,1246
"LINC00654",674,1248
"OR7E18P",675,1249
"NUTF2P4",676,1251
"RNU6-303P",677,1253
"PTX4",678,1255
"AKR7A2P1",679,1256
"MROH5",680,1258
"RN7SKP101",681,1260
"RPL7P48",682,1263
"SNORD115-35",683,1264
"MVB12B",684,1267
"RNA5SP402",685,1268
"LOC100289333",686,1270
"RN7SKP59",687,1272
"RNU6-324P",688,1273
"RN7SL499P",689,1275
"RPS8",690,1278
"WWP1P1",691,1279
"LOC102724536",692,1281
"ECEL1P2",693,1282
"LOC729468",694,1284
"PTGES3P3",695,1286
"BTF3",696,1287
"RNU6-1096P",697,1287
"RNU6-359P",698,1289
"RN7SL549P",699,1291
"LOC541467",700,1292
"SLC25A52",701,1294
"RNU6-119P",702,1298
"RN7SL748P",703,1299
"LOC101060747",704,1301
"RN7SKP71",705,1303
"RNU4-43P",706,1305
"TPM3P9",707,1307
"RNU6-483P",708,1309
"RNA5SP512",709,1311
"LINC00092",710,1313
"RPL22P22",711,1320
"RPL7AP28",712,1321
"RN7SKP119",713,1323
"RN7SL581P",714,1325
"SPDYE5",715,1327
"CNPPD1",716,1327
"ANKRD52",717,1328
"FAM227A",718,1329
"RNU1-45P",719,1331
"NANOGP1",720,1334
"RNU6-578P",721,1335
"UBB",722,1336
"RNA5SP470",723,1337
"RN7SL174P",724,1338
"CTAGE7P",725,1340
"RNU6-1142P",726,1341
"RNU6-1012P",727,1344
"SEPT5",728,1348
"LINC00602",729,1350
"RNU4ATAC17P",730,1352
"RNY3P5",731,1353
"GOLPH3",732,1354
"RN7SKP293",733,1355
"RNA5SP68",734,1359
"OR5AL1",735,1360
"COX3",736,1362
"RN7SL704P",737,1363
"RPL13AP20",738,1365
"RNA5SP123",739,1366
"RNU6-686P",740,1369
"RN7SL517P",741,1372
"RPL7P23",742,1374
"RNU6-120P",743,1376
"RNA5SP208",744,1378
"LOC100509780",745,1380
"SMG7-AS1",746,1381
"RNU6-662P",747,1383
"OR6K4P",748,1385
"RNU2-61P",749,1387
"SOWAHB",750,1389
"RN7SKP115",751,1391
"CTAGE10P",752,1392
"RNU4-12P",753,1395
"MRPS21P2",754,1397
"RN7SL65P",755,1399
"AGAP7P",756,1402
"RN7SL634P",757,1404
"PMS2P3",758,1405
"TPI1P2",759,1406
"RN7SKP15",760,1408
"RNU6-390P",761,1410
"RNU6-1037P",762,1412
"RNA5SP238",763,1414
"DTX2P1-UPK3BP1-PMS2P11",764,1414
"RNU6-939P",765,1415
"OGFOD3",766,1416
"RNU6-160P",767,1417
"RNU6-113P",768,1420
"LINC00087",769,1423
"RNU6-997P",770,1424
"GOLGA8M",771,1426
"MYL8P",772,1428
