"Gene","metaRanking","RP"
"C20orf56",236,657.2
"LOC100132215",237,660.4
"LOC100129315",238,663
"LOC644604",239,664.9
"SPATA31A3",240,667.5
"ANXA2P2",241,668.8
"LOC100130092",242,672.9
"LOC729390",243,674.3
"TMEM110-MUSTN1",244,676.6
"LOC100129463",245,678
"LOC729828",246,680.1
"RING1",247,681.7
"LOC100129915",248,685.9
"FAM13AOS",249,691.6
"NELFE",250,695
"LOC390251",251,696.8
"EIF2B4",252,697.1
"FAM120AOS",253,697.3
"LOC100131643",254,698.9
"LOC100130345",255,700.4
"FLJ33630",256,703.2
"EIF1",257,707.5
"LOC392435",258,709.2
"LOC100130967",259,710.7
"RPL32",260,711.3
"LOC100130852",261,712.2
"LOC728128",262,714.8
"GNB1",263,716.1
"RPL11",264,716.8
"TEN1-CDK3",265,717.5
"LOC100132493",266,722.9
"C4orf44",267,724.5
"RNASEK-C17orf49",268,727.6
"KRT18P26",269,730.3
"LOC100130522",270,732.8
"MTCH1",271,732.9
"NUTM2G",272,734.7
"LOC731797",273,737.3
"LOC730978",274,739.2
"LOC727918",275,741.7
"PUM1",276,743.6
"KRT18P40",277,745.2
"LOC283523",278,746.7
"LUZP6",279,746.7
"SNRNP200",280,747.9
"LOC728139",281,750.6
"KIAA1310",282,752.7
"LOC100132369",283,756.1
"KRT18P42",284,758.9
"LOC731631",285,761.3
"RPL34P6",286,762.7
"LOC100134291",287,764.8
"LOC100130633",288,766.4
"LOC100133600",289,767.9
"LOC728991",290,770.3
"LOC100128853",291,773.7
"PRAMEF3",292,776.2
"ADH5P4",293,777.6
"LOC100133772",294,779.2
"LOC646836",295,782.9
"LOC100130814",296,786.2
"LOC400129",297,788.3
"LOC285634",298,790.5
"LOC729231",299,793
"LOC730839",300,797
"LOC100128693",301,799.8
"CDV3P1",302,801.2
"DTX2P1-UPK3BP1-PMS2P11",303,801.8
"LOC391334",304,805.1
"LOC138864",305,806.6
"LOC646784",306,810.5
"LOC646201",307,815.5
"TMEM179B",308,817.1
"EEF1GP8",309,822.1
"PARK7",310,823.3
"LOC653687",311,823.8
"WDR45B",312,825.9
"CLP1",313,826.7
"WASH2P",314,831.3
"LOC441736",315,832.9
"LOC642357",316,835.8
"LOC728672",317,837.1
"LOC730974",318,838.7
"PRAMEF15",319,843.3
"LOC100128435",320,848.3
"LOC728804",321,850.6
"LOC441089",322,855.1
"RPL36P18",323,858
"LOC100132911",324,863.9
"LOC100131830",325,866.9
"LOC100130155",326,868.4
"BAT2L",327,874.3
"LOC730474",328,877
"LOC100133169",329,880.4
"LOC389662",330,884.7
"LOC647597",331,886.6
"DEM1",332,888.4
"GNB2L1",333,889.8
"RNU1-34P",334,892.9
"RPL13A",335,896.3
"LOC440180",336,896.5
"FAM160B1",337,898.3
"CNPPD1",338,899.7
"LOC727970",339,900
"EIF3L",340,903
"RRAGA",341,904.8
"RN7SL521P",342,905.1
"RPL12",343,906.6
"LOC100128131",344,906.8
"LOC729080",345,908.4
"MRPS21P2",346,910.8
"LOC728162",347,912.4
"LOC100131243",348,914
"LOC100132870",349,915.6
"LOC100128760",350,919.3
"LOC731932",351,920.9
"LOC100128842",352,922.4
"FLJ35379",353,924.3
"LOC100129979",354,927
"FLJ43859",355,929.6
"LOC642741",356,931
"RN7SL148P",357,934.3
"TRAJ41",358,936.3
"LOC100129058",359,938.4
"LOC728115",360,939.9
"CHMP4B",361,941.4
"LOC729225",362,941.8
"LOC644761",363,943.4
"LOC727838",364,945.6
"LOC100129381",365,947.3
"LOC100131149",366,948.7
"EIF2D",367,950.8
"NBPF9",368,951
"LOC728170",369,951.1
"C3orf71",370,958.6
"LOC645978",371,960.1
"LOC100133311",372,964
"LOC100128770",373,965.8
"LOC100131653",374,967.3
"LOC100996428",375,969.1
"SFSWAP",376,970.3
"LOC100132884",377,970.9
"UBB",378,972.8
"LOC391670",379,974
"LOC730517",380,975.4
"NACA3P",381,978.1
"NUPR1L",382,979.9
"LOC100132068",383,982.3
"LOC393078",384,986.1
"TIMM10B",385,986.9
"C7orf70",386,989.5
"LOC730087",387,991.2
"LOC100128283",388,994.1
"LOC728210",389,995.8
