"Gene","metaRanking","RP"
"LOC100130426",236,614.7
"LOC388795",237,616.9
"LOC100131904",238,618.4
"FAM120AOS",239,621.5
"LOC100130644",240,621.8
"LOC441089",241,623.2
"TRIM53",242,624.9
"LOC100131794",243,626.5
"LOC729956",244,628.4
"ESP33",245,630.2
"LOC100132068",246,632.5
"LOC100131573",247,636.6
"FLJ40672",248,640.3
"LOC100128765",249,641.7
"IST1",250,643.5
"LOC100130980",251,644
"LOC100127913",252,646
"LOC400129",253,647.4
"BEYLA",254,649.4
"PRAC",255,651.3
"LOC729400",256,653.3
"LOC202781",257,655.5
"LOC100128889",258,657
"LOC730087",259,658.4
"LOC730978",260,659.9
"LOC645174",261,661.6
"LOC100132715",262,664.2
"LOC100129513",263,666
"LOC100133311",264,668
"LOC440040",265,670.5
"LOC100134291",266,672.2
"LOC100129942",267,678
"LOC729492",268,679.5
"LOC100128023",269,681.6
"LOC729862",270,684.7
"LOC100129070",271,686.4
"SDHAP1",272,687.2
"LOC100130819",273,688.6
"LOC642446",274,691.4
"LOC100134006",275,694
"CARKD",276,695.5
"LOC728170",277,695.6
"LOC389662",278,698.3
"LOC729390",279,699.8
"LOC727970",280,704.3
"MTCH1",281,705.8
"LOC730163",282,708.7
"LOC100130383",283,710.4
"LOC643863",284,712.9
"LOC100131565",285,714.3
"LOC729952",286,716.2
"RPL3",287,716.9
"LOC100131294",288,717.6
"LOC731275",289,719.5
"LOC100129866",290,721
"LOC284412",291,724.7
"GOLGA6L10",292,727
"LOC728615",293,728.4
"LOC100133599",294,730
"PTMAP5",295,731.7
"TEN1-CDK3",296,733.3
"LOC100130135",297,734.9
"HEATR7B2",298,736.4
"LCN1L1",299,738
"LOC100128542",300,742.2
"LOC729770",301,743.8
"LOC100132813",302,745.3
"LOC100127920",303,747.4
"LOC730465",304,750.6
"LOC100128693",305,752.8
"SPDYE8P",306,755.3
"RNF114",307,755.7
"UBB",308,755.9
"LOC648927",309,757.3
"C14orf53",310,759
"LOC100129413",311,761.3
"LOC100130988",312,763.4
"LOC100131098",313,765.4
"LOC100129463",314,766.8
"LOC100132402",315,768.4
"LOC100128013",316,771.2
"PRAMEF15",317,772.9
"LOC100131091",318,774.4
"RP13-258O15.1",319,776
"LOC100129913",320,777.5
"LOC643531",321,779.2
"LOC642305",322,780.8
"LOC100127893",323,782.2
"RTFDC1",324,784.8
"LOC100127971",325,786.4
"LOC644761",326,787.8
"LOC388553",327,789.7
"LOC100129936",328,791.2
"LOC646754",329,793
"TMA7",330,794.5
"RN7SL352P",331,794.5
"LOC730351",332,796.3
"LOC727839",333,798.3
"PRAMEF3",334,801.2
"RPL37",335,802.2
"LOC100132635",336,805.2
"LOC391044",337,807
"LOC100131315",338,809.1
"LOC100127953",339,810.8
"LOC731797",340,812.9
"C14orf167",341,815.6
"LOC728401",342,818.4
"LOC100130846",343,819.8
"LOC399988",344,822.4
"LOC100128382",345,823.7
"LOC100132310",346,825.2
"LOC100131909",347,828.7
"LOC100131514",348,831.8
"LOC729537",349,833.1
"LOC102723566",350,834.9
"LOC100130769",351,836.3
"RPL34P34",352,838.2
"RNU6-1161P",353,840.5
"LOC646438",354,842.1
"LOC440300",355,843.8
"LOC729141",356,845.7
"LOC728991",357,848.6
"PUM1",358,849.5
"LOC100128853",359,852.2
"ZNF806",360,854.6
"LOC728531",361,857.3
"LOC727941",362,861
"LOC731932",363,864.6
"RPL32",364,867.5
"LOC651861",365,868.9
"LOC100132763",366,871.2
"LOC727838",367,874
"LOC100128267",368,875.6
"LOC391334",369,879.7
"PARK7",370,882.9
"NACA3P",371,883.6
"LOC100132909",372,885.4
"LOC643387",373,887.4
"LOC100129509",374,890.6
"BTF3",375,891.6
"LOC100129278",376,892.8
"RPL6",377,892.9
"RPS16",378,893.8
"HMGXB3",379,894
"LOC646282",380,895.1
"RN7SL521P",381,897.2
"LOC727918",382,898.9
"LOC100131124",383,901.5
"LOC650236",384,905
"LOC138864",385,906.8
"LOC644387",386,908.5
"SAE1",387,908.7
"LOC100129236",388,910.9
"LOC440180",389,912.7
"C2orf68",390,912.7
"LOC100129083",391,916.9
"RN7SL526P",392,918.3
"SNRNP200",393,919.3
"LOC100130291",394,919.7
"LOC729231",395,922.5
"LOC100131247",396,924.3
"POTEB",397,927
"MYL12B",398,929.2
"LOC728275",399,932.2
"LOC644745",400,934.1
"RPL18",401,934.3
"LOC100131960",402,936.6
"KDM3B",403,938.1
"LOC100130633",404,938.2
"LOC347281",405,939.7
"WDR42A",406,942.8
"LOC100128283",407,946
"UBXN4",408,947.5
"LOC728297",409,948
"LOC116437",410,949.6
"MIR1244-3",411,951.1
"FLJ35379",412,952.6
"LOC283523",413,954.2
"RPL22P11",414,956.5
"PPPDE1",415,957.9
"LOC100131859",416,959.9
"LOC646377",417,961.4
"LOC100127989",418,963.4
"LOC100128366",419,964.9
"LOC100131107",420,966.3
"LOC121906",421,967.8
"LOC100131760",422,969.4
"LOC729314",423,970.9
"LOC646644",424,972.6
"KRT18P42",425,975.3
"OR10AC1P",426,977.1
"LOC100130262",427,979.2
"LOC100130221",428,980.7
"LOC400036",429,985.2
"LOC727865",430,987.1
"TNFAIP8L2-SCNM1",431,989.4
"LOC646201",432,991.5
"GPBP1L1",433,994.7
"LOC146481",434,996.2
"LOC100133803",435,997.6
"LOC100128689",436,999.5
"LOC100130172",437,1002
"LOC644214",438,1005
"LOC100129865",439,1006
"LOC651198",440,1008
"LOC100129773",441,1012
"FLJ40039",442,1013
"LOC344593",443,1015
"LOC728804",444,1018
"LOC729153",445,1019
"LOC728450",446,1021
"LOC100128533",447,1022
"C21orf96",448,1024
"LOC342531",449,1030
"LOC646260",450,1032
"LOC730074",451,1035
"C1orf174",452,1036
"FUSSEL18",453,1036
"LOC389328",454,1038
"LOC729948",455,1040
"SLX1A",456,1042
"LOC100128935",457,1043
"LOC100129193",458,1045
"LOC100131549",459,1046
"UBC",460,1048
"UBBP4",461,1049
"LOC642513",462,1053
"LOC727977",463,1056
"FOXD4L6",464,1056
"RPS12",465,1057
"LOC401730",466,1058
"TMEM184C",467,1061
"EIF2D",468,1062
"LOC100129878",469,1062
"LOC387703",470,1063
"LOC139431",471,1067
"RPS2P5",472,1069
"SRSF9",473,1070
"LOC100130054",474,1072
"LOC730974",475,1075
"LOC387924",476,1076
"LOC645181",477,1080
"LOC729549",478,1082
"GNAS",479,1084
"LOC643015",480,1085
"LOC651452",481,1086
"LOC730110",482,1091
"LOC100130673",483,1092
"LOC100131891",484,1095
"LOC100133825",485,1097
"LOC100131149",486,1102
"RN7SL614P",487,1104
"LOC100133273",488,1106
"C20orf56",489,1108
"LOC647696",490,1110
"C17orf101",491,1112
"LOC100128405",492,1114
"C5orf51",493,1117
"LOC100130445",494,1118
"HEATR7A",495,1120
"LOC645978",496,1124
"EXD2",497,1124
"HNRNPK",498,1124
"LOC644587",499,1125
"LOC100131431",500,1130
"LOC100133528",501,1136
"LOC642006",502,1137
"LOC400553",503,1139
"LOC121296",504,1141
"LOC441736",505,1142
"LOC100133876",506,1145
"LOC100129717",507,1146
"RNASEK-C17orf49",508,1147
"LOC645405",509,1149
"OR7E5P",510,1151
"FAM104A",511,1153
"LOC728115",512,1153
"MOBKL3",513,1155
"LOC100132215",514,1157
"CCNI",515,1157
"LOC100131199",516,1159
"LOC100130308",517,1161
"CHMP4B",518,1161
"LOC391670",519,1163
"LOC100128559",520,1165
"LOC100130757",521,1167
"METTL13",522,1167
"C21orf136",523,1168
"NCOA6",524,1170
"LOC646934",525,1171
"LOC100130341",526,1174
"LOC100133283",527,1175
"LOC100131104",528,1178
"RN7SKP206",529,1180
"XRCC6",530,1181
"LOC100131765",531,1181
"LOC100128327",532,1183
"RPS4X",533,1184
"LOC100130967",534,1185
"LOC100130825",535,1186
"IGLV9-49",536,1189
"EEF1A1P11",537,1191
"RNU6-1218P",538,1194
"SNRPD2P1",539,1195
"WDR33",540,1197
"BASE",541,1197
"LOC100129291",542,1200
"LOC100131209",543,1204
"LOC100130990",544,1206
"LOC151658",545,1207
"SKOR1",546,1210
"VSTM2B",547,1213
"LOC388401",548,1217
"LOC100128193",549,1218
"RNU1-34P",550,1219
"LOC642346",551,1226
"OCIAD1",552,1228
"LOC100132742",553,1229
"LOC441442",554,1231
"PPIA",555,1231
"LOC729324",556,1239
"FAM115B",557,1242
"LOC100130328",558,1247
"LOC728379",559,1249
"CIAO1",560,1249
"PRSS29P",561,1251
"WDR45B",562,1252
"LOC100131868",563,1254
"LOC100129571",564,1256
"RN7SL556P",565,1257
"RPL39",566,1261
"CCDC93",567,1263
"LOC728408",568,1263
"LOC100129827",569,1265
"LOC390298",570,1266
"LOC100128973",571,1269
"LOC100131811",572,1271
"HNRNPA1P12",573,1273
"LOC100130711",574,1275
"MIR6890",575,1277
"RPL18A",576,1277
"FTH1P18",577,1282
"SNAP47",578,1285
"RPL11",579,1286
"EEF1GP8",580,1286
"HNRNPC",581,1287
"LOC653117",582,1290
"POLR3E",583,1291
"TPM3P9",584,1294
"LOC100128717",585,1296
"RP3-486D24.1",586,1301
"LOC728979",587,1303
"LOC728755",588,1304
"SPDYE9P",589,1306
"LOC729986",590,1309
"LOC100131389",591,1311
"LOC100132593",592,1315
"SIGMAR1",593,1316
"LOC100131880",594,1318
"RBBP7",595,1321
"LOC728463",596,1322
"CLTA",597,1322
"FLJ10088",598,1323
"LOC100129665",599,1325
"LOC730045",600,1328
"LOC100131085",601,1330
"LOC101928638",602,1332
"LCA10",603,1334
"UBR5",604,1334
"TMEM183B",605,1338
"TMEM191C",606,1339
"LOC643153",607,1339
"LOC100131416",608,1341
"SRSF2",609,1342
"LOC100130982",610,1344
"LOC100127925",611,1346
"LOC644079",612,1348
"NOP14",613,1348
"LOC100134140",614,1354
"LOC653550",615,1357
"LOC100128163",616,1359
"LOC284167",617,1362
"LOC649489",618,1363
"NELFCD",619,1364
"RN7SL105P",620,1365
"FLJ14100",621,1367
"INO80",622,1369
"MARCHF5",623,1371
"LOC729722",624,1374
"LOC730631",625,1377
"LOC651771",626,1381
"LOC100128302",627,1384
"LOC440041",628,1388
"FOLR4",629,1389
"RN7SL554P",630,1389
"LOC100131656",631,1392
"RPL36P18",632,1394
"LOC340239",633,1395
"LOC100131320",634,1397
"LOC100129751",635,1399
"DIPAS",636,1401
"LOC728138",637,1403
"LOC100129915",638,1404
"LOC729669",639,1406
"LOC100128270",640,1408
"RN7SL401P",641,1410
"LOC100129643",642,1414
"LOC729159",643,1416
"C16orf91",644,1417
"LOC100132430",645,1419
"MTDH",646,1419
"LOC728773",647,1420
"RPS20P27",648,1423
"LOC100133286",649,1432
"LOC149478",650,1433
"RNPS1",651,1434
"MIR210",652,1435
"LOC729397",653,1438
"LOC100131335",654,1439
"CT45A4",655,1441
"LOC441505",656,1443
"TERF2IP",657,1445
"LOC730275",658,1447
"LOC100131081",659,1449
"LOC729815",660,1452
"LOC100131871",661,1454
"LOC729200",662,1455
"CLP1",663,1458
"LOC100128265",664,1459
"LOC400352",665,1465
"LOC100130520",666,1468
"LOC100129580",667,1470
"SKP1",668,1474
"LOC341784",669,1476
"ANKRD20A19P",670,1479
"NCRNA00173",671,1482
"MUDENG",672,1487
"LOC731631",673,1489
"LOC100130771",674,1492
"CDV3P1",675,1494
"METTL16",676,1496
"NPIPB5",677,1498
"LOC729080",678,1499
"LOC728672",679,1500
"LOC442676",680,1502
"LOC390806",681,1503
"RPL22P22",682,1505
"SNORA80A",683,1507
"LOC100130827",684,1509
"UBA52",685,1509
"LOC100131722",686,1511
"SAPCD1",687,1514
"LOC729417",688,1517
"LOC100133695",689,1519
"LOC642550",690,1522
"UBA5",691,1523
"LOC727828",692,1532
"LOC728054",693,1535
"ACTB",694,1539
"PSMC5",695,1541
"LOC728927",696,1545
"LOC100131308",697,1546
"RNU6-283P",698,1548
"LOC100133584",699,1550
"ZNF252",700,1555
"LOC151457",701,1557
"LOC100131354",702,1560
"CCDC25",703,1561
"OR7E55P",704,1562
"SEC11A",705,1562
"LOC399851",706,1563
"LOC646030",707,1569
"LOC100132773",708,1570
"DDRGK1",709,1574
"CT47A7",710,1574
"ERI3",711,1575
"RN7SL449P",712,1577
"RPS2P4",713,1579
"CRTC3",714,1581
"LOC400446",715,1583
"LOC728217",716,1584
"LOC100130511",717,1587
"RFC1",718,1590
"SUMO3",719,1592
"GOLGA2P6",720,1595
"LOC400011",721,1597
"LOC401847",722,1600
"MIR6743",723,1605
"C16orf11",724,1607
"LOC100129376",725,1611
"LOC100129551",726,1614
"LINC01002",727,1617
"TMCO1",728,1617
"LOC100132655",729,1620
"LOC100132240",730,1623
"LOC100131076",731,1625
"LOC401076",732,1626
"LOC100129686",733,1630
"ZNF384",734,1631
"LOC200030",735,1631
"BHLHA15",736,1633
"RPL19",737,1633
"FLJ32063",738,1635
"BAZ1B",739,1636
"JCLN",740,1637
"MMGT1",741,1639
"LOC100132919",742,1640
"LOC729090",743,1642
"AARS",744,1642
"PSME1",745,1647
"LOC100131401",746,1648
"LOC100132843",747,1652
"SLX4",748,1654
"LOC729495",749,1656
"LOC100129015",750,1658
"ANKLE2",751,1659
"LOC729828",752,1660
"PCNPP5",753,1661
"FAM168B",754,1664
"LOC100130522",755,1664
"LOC441768",756,1666
"LOC100128901",757,1668
"LOC100130758",758,1671
"LOC100127899",759,1673
"LOC100132234",760,1674
"RN7SKP109",761,1675
"RNF4",762,1677
"LOC100128131",763,1678
"ARPC2",764,1680
"LOC100130233",765,1680
"FAM210B",766,1682
"RN7SL116P",767,1686
"DTX2P1-UPK3BP1-PMS2P11",768,1689
"LOC100132884",769,1690
"LOC729301",770,1692
"RNU6-823P",771,1694
"TMBIM6",772,1697
"LOC100131251",773,1697
"TMSB4X",774,1700
"SCGBL",775,1702
"NELFE",776,1705
"LOC100128842",777,1707
"MTMR3",778,1711
"RAB10",779,1714
"GOLGA8S",780,1718
"PDCD7",781,1719
"EI24",782,1720
"LOC730658",783,1722
"LOC100131336",784,1723
"HIGD2B",785,1726
"ADH5P4",786,1727
"EGFL10",787,1728
"LOC646784",788,1730
"RNASEK",789,1730
"LOC100129466",790,1733
"CDC42P6",791,1735
"LOC100128156",792,1739
"LOC100129744",793,1740
"LOC729199",794,1743
"CXorf18",795,1745
"LOC100130178",796,1749
"LOC100131575",797,1752
"USP9X",798,1756
"LOC791120",799,1756
"EEF1DP3",800,1757
"LOC100130880",801,1759
"MDP1",802,1759
"FTSJ2",803,1761
"LOC100188947",804,1763
"LOC644101",805,1765
"LOC100129264",806,1768
"LOC100130010",807,1772
"RPL7AP66",808,1773
"LOC729121",809,1775
"C9orf70",810,1777
"C16orf90",811,1778
"LOC100130134",812,1783
"RPS8",813,1784
"CRKL",814,1784
"LOC100128825",815,1785
"LOC100129118",816,1787
"NARS",817,1788
"ZNF207",818,1788
"PRSS57",819,1789
"LOC100128998",820,1791
"LOC391142",821,1793
"PUF60",822,1794
"LOC729409",823,1794
"MGC3771",824,1800
"APTX",825,1800
"NBPF9",826,1800
"TMEM179B",827,1803
"LOC100129733",828,1806
"RTCB",829,1807
"LOC100129578",830,1809
"EEF1G",831,1810
"ZFP112",832,1810
"HIST2H2BA",833,1812
"FAM120A",834,1812
"LOC646572",835,1814
"RPS18P9",836,1817
"LOC729275",837,1819
"BRF1",838,1821
"DUX4L1",839,1822
"LOC728179",840,1824
"FTSJD2",841,1827
"LOC732043",842,1828
"LOC729608",843,1830
"AGGF1",844,1836
"C14orf65",845,1837
"LOC644914",846,1838
"MTRF1L",847,1840
"LOC100129660",848,1843
"LOC649941",849,1846
"LOC100130855",850,1847
"GAR1",851,1848
"LOC100131243",852,1849
"LOC100129139",853,1851
"LOC100129478",854,1852
"TRIM39-RPP21",855,1853
"LOC727833",856,1855
"LOC100128770",857,1858
"LOC729524",858,1861
"LIMS3L",859,1864
"KIAA0692",860,1865
"LOC730535",861,1866
"LOC100130746",862,1868
"NCRNA00153",863,1869
"POLD2",864,1870
"URGCP-MRPS24",865,1872
"SEC24B",866,1874
"RPL27",867,1874
"LOC100132469",868,1875
"RFWD2",869,1878
"CHCHD2P6",870,1878
"LOC100129410",871,1880
"LOC100129436",872,1884
"MIR453",873,1886
"BABAM1",874,1890
"PSMB3P2",875,1890
"C2orf90",876,1891
"RN7SL293P",877,1894
"CNOT11",878,1895
"LRRC47",879,1897
"LOC645744",880,1899
"ELK4",881,1901
"LOC646805",882,1901
"BRD3",883,1902
"LOC100131009",884,1906
"FAM192A",885,1908
"LOC730861",886,1909
"NCOA4",887,1910
"LOC100131525",888,1911
"COX7A2L",889,1912
"LOC144438",890,1914
"LOC100128869",891,1920
"MT-TF",892,1922
"RN7SKP143",893,1923
"VPS52",894,1925
"RPLP1",895,1925
"LOC100132767",896,1927
"RN7SKP89",897,1934
"LOC100131542",898,1936
"LOC100130616",899,1938
"LOC730032",900,1940
"LOC647013",901,1943
"KARS",902,1947
"AAR2",903,1948
"LOC100128191",904,1953
"LOC729995",905,1955
"LOC400061",906,1958
"LRRC37B2",907,1960
"FLJ40434",908,1962
"AQR",909,1963
"LOC100129636",910,1964
"LOC100130325",911,1967
"RPL10AP6",912,1969
"LOC147727",913,1970
"LOC285176",914,1970
"RNU1-56P",915,1973
"LOC100130591",916,1976
"LOC730754",917,1979
"LOC729798",918,1980
"WASH2P",919,1983
"LOC100130663",920,1985
"LOC729484",921,1987
"NCRNA00085",922,1993
"ACOT9",923,1994
"LOC100128096",924,1995
"LOC100131271",925,2000
"RPS10",926,2001
"MKRN2",927,2005
"TIMM10B",928,2006
"RN7SKP279",929,2010
"TMEM219",930,2011
"LOC100129652",931,2011
"LOC100128139",932,2015
"LOC730291",933,2016
"NUTM2G",934,2018
"DEM1",935,2021
"LOC728317",936,2025
"LOC340221",937,2028
"LOC100130818",938,2031
"LOC100127918",939,2035
"FAR1",940,2035
"C16orf81",941,2036
"FAM160B1",942,2039
"RN7SKP252",943,2039
"RN7SL220P",944,2041
"LOC728737",945,2043
"LOC100132008",946,2049
"LOC728139",947,2051
"ZDHHC7",948,2053
"LOC100128640",949,2053
"PABPC1",950,2054
"LOC388907",951,2055
