"Gene","metaRanking","RP"
"RNA5SP119",219,278.9
"RN7SKP199",220,279.9
"RNU6-711P",221,281.1
"LOC100131830",222,282.8
"RN7SL111P",223,284.5
"RN7SL76P",224,285.7
"RNU6-224P",225,287.2
"OR56B3P",226,288.4
"IGKV7-3",227,289.8
"RN7SKP48",228,291
"MT-TF",229,292.2
"RNU6-275P",230,293.3
"RN7SL359P",231,295.2
"RN7SKP286",232,296.3
"RN7SL8P",233,297.3
"RN7SKP11",234,298.6
"RN7SL833P",235,300.8
"RNU6-1161P",236,302
"RNU4-81P",237,303
"UBE2D3P1",238,304.1
"RN7SL632P",239,305.3
"RNU6-237P",240,306.3
"LOC100131414",241,307.5
"RPS19P1",242,308.8
"RN7SKP145",243,309.8
"LOC100130166",244,311.1
"RN7SKP262",245,312.9
"RNU6-1074P",246,313.9
"LOC100132724",247,314.9
"RN7SL424P",248,316.2
"DNM1P33",249,318.8
"NOS2P3",250,320.3
"RN7SL494P",251,322
"LOC400129",252,323.7
"RNU6-883P",253,325.3
"RNU6-822P",254,326.3
"RNU1-55P",255,327.6
"RNU6-1324P",256,328.7
"RNU6-859P",257,329.9
"SCAND3",258,331
"RNU6-78P",259,332.3
"NECAP1P1",260,333.3
"RNA5SP118",261,334.6
"KRT121P",262,335.6
"TRNAS30P",263,337.2
"RNU6-289P",264,338.4
"MIR516B2",265,339.4
"LOC399748",266,340.4
"RN7SL705P",267,341.5
"MIR510",268,343.1
"RNA5SP379",269,344.1
"RNU5F-8P",270,345.3
"RNU2-68P",271,346.8
"LOC100128788",272,348.3
"RN7SKP52",273,349.3
"RNU1-56P",274,350.4
"RNU4ATAC4P",275,351.8
"MIR548C",276,353
"RN7SKP60",277,354.3
"RNU4-76P",278,355.3
"RN7SL569P",279,356.6
"RN7SL762P",280,358.2
"RNU6-1238P",281,359.3
"RNA5SP163",282,361
"RNA5SP262",283,362.2
"RNU1-70P",284,363.6
"RN7SL266P",285,364.6
"RN7SKP87",286,365.6
"RNU6-486P",287,366.9
"LOC100133034",288,368.2
"RNA5SP185",289,369.2
"EEF1GP8",290,370.2
"RN7SKP154",291,371.2
"MIR453",292,372.5
"RN7SKP15",293,374.6
"LOC642446",294,375.8
"RPS2P2",295,376.9
"RN7SL302P",296,378.3
"FLJ22675",297,380.1
"RNU6-731P",298,381.2
"RN7SKP256",299,382.2
"RNA5SP148",300,383.4
"RN7SL704P",301,385
"RNU6-932P",302,386.3
"RPL34P6",303,387.3
"LOC388279",304,388.3
"VTRNA3-1P",305,389.5
"LOC729409",306,390.5
"RN7SL802P",307,392.1
"RNU5A-3P",308,393.4
"RNY1P7",309,395.9
"RN7SL55P",310,396.9
"RNU6-854P",311,397.9
"RNU2-65P",312,398.9
"RNU6-448P",313,400
"RN7SKP225",314,401.5
"ERCC-00076",315,402.7
"RNU6-695P",316,404.3
"RNU6-314P",317,405.6
"RN7SL370P",318,406.6
"LOC100128233",319,407.9
"LOC101928885",320,409.4
"RNU6-1134P",321,410.4
"LOC360030",322,411.6
"RNU2-71P",323,413.1
"RN7SKP78",324,414.3
"RN7SL26P",325,415.6
"RN7SKP167",326,416.9
"RPL36AP39",327,418.1
"RN7SL159P",328,420.4
"RNA5SP225",329,421.9
"RN7SL23P",330,423.2
"RNU4-31P",331,424.6
"LOC100130859",332,426.6
"RN7SKP156",333,428.7
"RNU6-708P",334,429.7
"LOC642636",335,431.2
"FLJ43859",336,432.2
"CYCSP51",337,433.2
"RNU6-545P",338,434.6
"RPL31P13",339,435.6
"RNU6-413P",340,436.7
"RNU6-410P",341,437.9
"OR8J2",342,439
"RNU6-607P",343,440
"MIR92B",344,441.4
"RN7SL647P",345,442.4
"RN7SL127P",346,443.8
"RNU6-131P",347,444.9
"TATDN2P1",348,446.2
"RNU6-332P",349,447.3
"RNU6-72P",350,448.3
"RN7SKP189",351,449.6
"RNA5SP140",352,450.8
"RNU6-294P",353,452
"RN7SL709P",354,453
"RNU6-900P",355,454.3
"RN7SKP8",356,455.3
"LOC100134233",357,456.8
"OR5P1P",358,457.8
"RNU6ATAC30P",359,459
"RNU1-14P",360,460.1
"RNU4ATAC2P",361,461.5
"RN7SKP182",362,462.5
"OR51A8P",363,464.6
"RN7SL597P",364,465.6
"MIR558",365,466.6
"RN7SL335P",366,467.7
"RNA5SP347",367,468.7
"DNM1P34",368,469.7
"RNU6-1292P",369,471.9
"RN7SL258P",370,472.9
"LOC100132456",371,474.9
"RNU1-139P",372,476.4
"RN7SL20P",373,477.4
"MIR141",374,478.3
"CBX1P1",375,479.3
"RN7SL520P",376,480.3
"LAMTOR5P1",377,481.3
"FTH1P18",378,482.5
"GJA1P1",379,483.5
"RN7SKP120",380,484.9
"RNU4-13P",381,485.9
"LOC100132992",382,487.1
"RP3-486D24.1",383,488.8
"RNU6-796P",384,489.8
"LOC100133803",385,490.8
"RN7SKP170",386,492.4
"RNA5SP229",387,493.4
"RNU4-52P",388,494.4
"RNA5SP20",389,495.5
"OR5AN2P",390,496.5
"RN7SKP247",391,497.9
"RNA5SP415",392,499
"LOC388553",393,500
"RN7SKP119",394,501
"RN7SL692P",395,502.2
"RNU6-756P",396,503.6
"RN7SL110P",397,504.6
"HMGB1P10",398,505.6
"RNU6-892P",399,506.7
"RN7SL135P",400,507.7
"RN7SL35P",401,508.7
"RNA5SP68",402,510.4
"RNU6-1136P",403,511.6
"RNU6-763P",404,512.6
"MIR203A",405,513.8
"RN7SL12P",406,514.9
"RNU6-173P",407,516.3
"FAM183A",408,517.3
"RNU6-1034P",409,518.1
"RN7SL638P",410,519.1
"RN7SKP100",411,520.2
"RNA5SP194",412,521.6
"RN7SL40P",413,522.8
"RNA5SP203",414,524.3
"SNORD113-2",415,525.3
"RNU6-381P",416,526.3
"RNU6-841P",417,528.5
"RNU6-1066P",418,529.9
"RNA5SP487",419,531.5
"LOC100128203",420,532.7
"RPL29P12",421,534.4
"RN7SL375P",422,535.4
"RN7SKP259",423,536.6
"RN7SL98P",424,537.7
"LOC100190938",425,539
"RN7SKP218",426,540.1
"RN7SL635P",427,541.5
"RNU6-373P",428,542.5
"OR5M2P",429,543.9
"RNU1-78P",430,545.8
"WBP2P1",431,547.1
"LOC100127887",432,548.1
"LOC101927180",433,549.2
"ADH5P4",434,550.2
"RN7SKP10",435,551.2
"RNU6-320P",436,552.2
"RN7SKP263",437,553.3
"RN7SL15P",438,554.3
"SNORD112",439,555.9
"RNA5SP261",440,557.2
"RNA5SP128",441,558.2
"RN7SL799P",442,559.4
"RNU6-657P",443,560.4
"KRT18P59",444,561.7
"RNA5SP218",445,562.7
"OR7E162P",446,563.7
"RNU1-129P",447,564.8
"RNU6-839P",448,565.8
"RNU4-14P",449,566.8
"PTMAP5",450,567.8
"RNU6-190P",451,568.9
"LOC100129979",452,570.2
"RNU4ATAC5P",453,571.3
"RNU2-67P",454,572.5
"NAP1L4P1",455,573.7
"RNU6-1017P",456,574.9
"RN7SL285P",457,576.1
"RN7SKP53",458,577.4
"KRT18P20",459,578.5
"RPL31P63",460,579.9
"RNA5SP109",461,581
"RN7SL180P",462,582.3
"RN7SKP291",463,583.3
"RNU6-1297P",464,584.3
"RNA5SP200",465,585.6
"RNU4ATAC13P",466,586.6
"LOC728054",467,588
"RN7SL748P",468,589.1
"RNU6-163P",469,590.1
"RNA5SP375",470,591.1
"RNA5SP474",471,592.3
"RN7SL97P",472,593.5
"RNU1-8P",473,594.5
"RNA5-8SP6",474,595.6
"RN7SL156P",475,596.8
"MIR6513",476,598.6
"LOC100128904",477,599.6
"RN7SKP279",478,600.6
"RNU6-193P",479,601.6
"RN7SL674P",480,602.6
"RN7SL105P",481,603.7
"RNU6-64P",482,604.9
"RNA5SP270",483,605.9
"RNU6-159P",484,607.1
"MIR1271",485,608.4
"RNU4-74P",486,609.6
"RN7SKP113",487,610.9
"KRT18P32",488,611.9
"ATP6V0CP1",489,613.1
"RNU5E-7P",490,614.1
"RNA5SP324",491,615.3
"RN7SL675P",492,616.3
"RN7SKP202",493,617.4
