"","X","ranking","median","mean","sd"
"1","PPIA",5299,0.0322344217392985,0.0936984370345002,0.0993261108606995
"2","GAPDH",7256,0.0345220358433914,0.0987724402567624,0.0962164070124072
"3","UBC",12155,0.0387651994323326,0.0929525142959193,0.109967679605727
"4","RPL19",19447,0.0458197859973272,0.0696245519920148,0.0702923729122595
"5","HPRT1",27325,0.065460248671094,0.0787542729442454,0.0634517919993266
"6","RNA18SN5",29850,0.0834079876292048,0.153854489215674,0.111322504245048
