"","GSE38321","GSE79434","GSE54650","GSE55272","GSE35026","GSE37514"
"0610007P14Rik",0.0144384127938652,0.0371896129724945,0.259829682350935,0.00761806515823073,0.0164920345159575,0.0143902287028192
"0610009B22Rik",0.0207646542294365,0.0347019400835635,0.237685573843896,0.0230733441338343,0.0164522113629806,0.00857514481348214
"0610009L18Rik",0.00722872028558461,0.0290567371928768,0.129957115974175,0.0191278511921337,0.0207681778363934,0.019708216759867
"0610009O20Rik",0.0212289098030809,0.0475516298178584,0.223453773399204,0.00872851131340984,0.0127925227045065,0.0134721461401701
"0610010F05Rik",0.00838092821568992,0.0205539126831005,0.122527940052188,0.0293054468563353,0.0255501621048984,0.0236747981480546
"0610010K14Rik",0.0194316705588815,0.0337779223810023,0.113035142724,0.00999262085262822,0.00998412766056686,0.0155266423778962
"0610011F06Rik",0.0157890005824943,0.0769295366672675,0.192879158346706,0.0154612526282349,0.0159235767159012,0.0291723962678853
"0610012G03Rik",0.0327419585055867,0.0784464750298515,0.390767864625171,0.0110323763750387,0.0230687024224538,0.0115463026587305
"0610025J13Rik",0.017109818249759,0.0217048022456354,0.219576012801316,0.0213325641631229,0.0271938468940457,0.0281387758384394
"0610030E20Rik",0.0111008737836135,0.0346536494526017,0.117636128336509,0.00790405379499942,0.0169581406826965,0.0142401215559531
"0610031J06Rik",0.00689966745030466,0.029372383039672,0.0880083323721745,0.0057619885441543,0.0187039478965598,0.0226888704678691
"0610037L13Rik",0.00796560045807254,0.0282076205908984,0.0898119550075241,0.01235728423115,0.00833605562619698,0.014636186801678
"0610038B21Rik",0.0162785903621132,0.0264942182790625,0.108482419233287,0.0160202189737736,0.0345755970294464,0.0271216325162058
"0610039K10Rik",0.0274464636723299,0.0243685813939005,0.146399300978937,0.0220652926452251,0.0185851210928867,0.0195844456606459
"0610040B10Rik",0.0129135114923431,0.024768799747762,0.147929893089609,0.0170421494370993,0.0349973917406909,0.0300061713523347
"0610040J01Rik",0.0132354640773894,0.0335896268106002,0.0980520673885355,0.0268677997523547,0.0185874353628234,0.0242241598587252
"1110001J03Rik",0.0374585101579041,0.145461948158481,0.639596780228999,0.0132013649600564,0.0203687131488526,0.023606262947103
"1110002L01Rik",0.0229838264925204,0.0367144263188644,0.149093431921572,0.021002021659743,0.0393797006096959,0.0274350493781323
"1110004E09Rik",0.0168737410942071,0.0538525960094648,0.148010328722714,0.0185734942947962,0.0172070828081561,0.0238799901518069
"1110004F10Rik",0.0140365184877526,0.0339764434599435,0.153778388336925,0.0169792052354412,0.0158548912466021,0.0145120544748388
"1110006O24Rik",0.0233923898623666,0.0300821050483931,0.112060807217505,0.0196959088039067,0.0259884236293292,0.0160202351016011
"1110007C09Rik",0.0102727924447127,0.0433058699738444,0.271399402967894,0.00655084131901911,0.0154834457082924,0.0123778758377047
"1110008E08Rik",0.021238937534899,0.0292182687706405,0.107851715756471,0.0174863288924883,0.021838162287803,0.0274745138239848
"1110008F13Rik",0.0194860765801208,0.0502954991038397,0.432192544707839,0.0100014823389675,0.0159178290154524,0.0100524143086292
"1110008L16Rik",0.0189980751078836,0.037922345153226,0.166462555627989,0.0214220216951312,0.0136777980744948,0.017898657461979
"1110008P14Rik",0.0377783717591039,0.062892175522123,0.187974879053758,0.0199396882255141,0.0297914206718502,0.0251916666367218
"1110012L19Rik",NA,0.0331744922698894,0.136500153065668,0.0188480047558007,0.0317148521117657,0.0137107925041989
"1110017D15Rik",0.00981540922135141,0.0210927091488275,0.196500007041676,0.0187978356070815,0.0174591087708547,0.0604135893342786
"1110020C17Rik",0.0144842354278319,0.0248324746691644,0.0672488160546849,0.0450088413021219,0.0270853920733364,0.0463278860495852
"1110032A03Rik",0.0133240513937271,0.0302350413172107,0.095853580968245,0.0235321760126035,0.0175634329642704,0.00672767973350887
"1110032F04Rik",0.0191507383617182,0.0252890471156588,0.17077283229294,0.028155349320298,0.0339393750197898,0.0293132510495419
"1110034G24Rik",0.0109513057122516,0.0174026449979104,0.213873895714014,0.0132920559462969,0.0222244053163639,0.0170136615004944
"1110035H17Rik",0.0066159186427685,0.0298978351015141,0.14394141620163,0.0237315158102994,0.0249256958834325,0.0319410660621531
"1110037F02Rik",0.0162645980333083,0.0314464084964911,0.105255029609675,0.0235258054225367,0.0143313964159701,0.00930805566922478
"1110038B12Rik",0.0188065004618146,0.0273191878656876,0.190964435448049,0.0432429917761775,0.0596010634219409,0.0322781612357259
"1110038F14Rik",0.00990663471765279,0.0190813662363827,0.0859972213657454,0.0134084755498696,0.0123791872151026,0.0117726624706216
"1110051M20Rik",0.0151675681586058,0.0279953722683033,0.114683647215169,0.0161810948555371,0.0142631138457072,0.028190359509112
"1110057K04Rik",0.0115861242866473,0.031962719372595,0.177767334805358,0.0116654285432924,0.0261348367766057,0.0193513501586578
"1110057P08Rik",0.00964348589132578,0.0453626185091999,0.309571126938334,0.0317766594502733,0.031622221650774,0.0392544530239674
"1110058L19Rik",0.0110291433702197,0.0253966824552934,0.147208927725103,0.0267214485373526,0.0263206812981432,0.0207895507147923
"1110059E24Rik",0.0100883106571112,0.0315580056076041,0.125769978543473,0.0121288466379798,0.0129405390134376,0.0154183811275334
"1110059G10Rik",0.0261084696753925,0.0285417228013653,0.141225909410175,0.010658984954815,0.0232483891432975,0.0267965520476673
"1110065P20Rik",0.0154357035241083,0.0429480743181562,0.174025168657278,0.016117038552066,0.0135870926032823,0.0102560170563758
"1190002N15Rik",0.0200543341970989,0.0460517592348015,0.180954836723147,0.0213787832438329,0.0185295093763136,0.0234056167221737
"1190005I06Rik",0.0322157767699701,0.0852108091127686,0.401735558108211,0.025051158270644,0.0370064859413291,0.0337231319666151
"1190007I07Rik",0.0340859735333326,0.095855331731176,0.262370809848748,0.0309163788835429,0.0396526372119348,0.0323207681760592
"1200014J11Rik",0.0108420660684462,0.0241231812672768,0.0760645651918299,0.00837858698291053,0.0094954708485318,0.00886099888416323
"1300002K09Rik",0.022626582381328,0.0358353956790367,0.101774240025019,0.0252144005717947,0.0225776393306579,0.0207204325534397
"1300017J02Rik",0.119896192073391,0.0493037298561327,0.348299794717851,0.02732073810374,0.0236920553698815,0.022136101484293
"1500002F19Rik",0.0232282283651214,0.0385487302668974,0.108295665332973,0.041590997182304,0.0334313330084391,0.0503170702897077
"1500009C09Rik",0.0160190700665419,0.0302743314748598,0.19754455646757,0.0216794139048399,0.0145953378948659,0.0172189720421129
"1500011B03Rik",0.00884067826946767,0.0380048283984877,0.216146730120916,0.0126679605815316,0.0134861580359611,0.0203033671455271
"1500011K16Rik",0.0188953418483463,0.0198660675783542,0.138055524419634,0.034698184882004,0.024453176895806,0.0244455401472499
"1500012F01Rik",0.026021877710405,0.0350460081278458,0.127941720213941,0.0202778048469052,0.0212709459414378,0.0151365178429233
"1500015L24Rik",0.0118732981800518,0.0250201736900634,0.217518257347671,0.031347183867218,0.0250165908615384,0.0530714615300793
"1500015O10Rik",0.0154925401780505,0.0269975908416314,0.106443318027182,0.0167762085789137,0.0358198276614579,0.0523100446609189
"1500035N22Rik",0.0108892576788285,0.0318258324795674,0.158210237185398,0.016431917447563,0.0200793542235667,0.0181432329534499
"1520401A03Rik",0.0190968653159241,0.0302445735106955,0.179509177615982,0.0271628327619457,0.0206312555584833,0.0287861676572985
"1600002H07Rik",0.017498841675291,0.0364673616177621,0.089423727723504,0.0086087145943134,0.0174576106687566,0.0274789155447056
"1600002K03Rik",0.0170635412143929,0.0314791371855399,0.0772163941622365,0.0178883993013645,0.0182910088987004,0.0144123041547847
"1600012H06Rik",0.0102806410604046,0.0410927492725663,0.0677119436692365,0.0113935703699709,0.0171224092069103,0.0145659471152525
"1600012P17Rik",0.0099339906543144,0.0274797781168423,0.155572304409158,0.0177562558010904,0.0234783506587418,0.0294474729011524
"1600014C10Rik",0.012465011947989,0.0357888286516675,0.114959408935385,0.0262458208344137,0.0250602575635365,0.0181293456071865
"1600014C23Rik",0.0161002983513732,0.0326812557687487,0.0706623129636792,0.0213061108579689,0.0163503352954885,0.023075715753922
"1600014K23Rik",0.0161848644239907,0.024420530194753,0.132796699041991,0.0155554351395481,0.0201408670221555,0.020789599334178
"1600015I10Rik",0.0284993786771659,0.0174225288440394,0.168214062937677,0.0396262512917643,0.0336415343733922,0.0212499472954392
"1600029O15Rik",0.0190462236139282,0.0315031248362866,0.127951642021949,0.0348588045861044,0.0278519940820041,0.0429191406689685
"1700001C02Rik",0.0185524436747762,0.0201363315830923,0.186207816697999,0.047097768351806,0.0215622300406463,0.060652186405592
"1700001C19Rik",0.0149638466610162,0.0242274931670618,0.0755427358638158,0.0188938128110218,0.0260011872957336,0.0218784255702724
"1700001G17Rik",0.00808129977614296,0.0176939082801663,0.107916629981525,0.0172436135438513,0.0199967010558117,0.0152820027351311
"1700001J03Rik",0.0280987670192802,0.0253566699955411,0.166872722629132,0.0218588837042093,0.0351717458056139,0.0228493123280008
"1700001J11Rik",0.0331257992765755,0.0317082344170122,0.134744005289933,0.039670712847019,0.0510883451768477,0.0781176536091051
"1700001K19Rik",0.0279072872516767,0.02872487256091,0.131357846142168,0.033850120413375,0.0269469192570173,0.0186847007697627
"1700001K23Rik",0.0156796140270318,0.0250986204039048,0.0825458248911517,0.0235020514220997,0.0210844372480443,0.0171717038340764
"1700001L05Rik",0.0168004057878516,0.0288621705355663,0.144740421012959,0.0255998843412953,0.0328675520354927,0.0356963971242258
"1700001L19Rik",0.012792891364988,0.0311017794781854,0.135585947391839,0.0249187631584078,0.024585255718444,0.0752207206317539
