"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"RPL19",5520,0.0849032863129898,20
"RNA18S5",8077,0.0986094380218205,13
"UBC",12048,0.115293356958002,20
"HPRT1",19760,0.136579760001632,20
"PPIA",20215,0.137801973441935,20
"GAPDH",33453,0.1770760493809,19
