"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"RPL19",289,0.0256218505111377,49
"UBC",311,0.0259042642886885,48
"PPIA",790,0.0298160520341156,48
"GAPDH",3467,0.0387097122826833,48
"RNA18S5",20887,0.0727144643804198,35
"HPRT1",22907,0.0759051101230301,48
