"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"RPL19",3935,0.0606721882826956,20
"UBC",14303,0.100202732137925,20
"HPRT1",15918,0.104364237449309,20
"RNA18S5",16980,0.107075003069313,13
"GAPDH",23057,0.121843178246718,19
"PPIA",26812,0.131212288894165,20
