"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"UBC",118,0.0184420132552343,13
"RPL19",1444,0.0297489424804663,13
"GAPDH",1949,0.0316678258722179,13
"PPIA",4349,0.0393339677690386,13
"HPRT1",9661,0.0544273940680085,13
"RNA18S5",18445,0.078610154387504,10
