"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"UBC",519,0.0271875114461486,13
"RPL19",1492,0.0355261107491543,13
"PPIA",3466,0.0448270563974461,13
"GAPDH",4884,0.0505690472131247,13
"HPRT1",12110,0.0752089984056916,13
"RNA18S5",15346,0.0864632074792453,10
