"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"RPL19",274,0.03760401601134,49
"UBC",376,0.0390604952807446,48
"PPIA",778,0.0438054224331431,48
"GAPDH",2387,0.0534311221590988,48
"RNA18S5",20902,0.107384962066557,35
"HPRT1",27513,0.12312977428608,48
