"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"UBC",560,0.0188185272390317,13
"RPL19",1694,0.0249856431795059,13
"GAPDH",3822,0.0314732528196802,13
"PPIA",3985,0.0319187093676622,13
"HPRT1",11005,0.0484351876586423,13
"RNA18S5",15176,0.0580283243811214,10
