"GSEIDs","nSamples_adi","indicadorMT","adiGSMs"
"GSE70300",10,"MULTITEJIDO","'GSM1723369', 'GSM1723371', 'GSM1723376', 'GSM1723377', 'GSM1723379', 'GSM1723380', 'GSM1723382', 'GSM1723383', 'GSM1723385', 'GSM1723389'"
"GSE97145",11,"MONOTEJIDO","ALL"
"GSE64718",33,"MONOTEJIDO","ALL"
"GSE62612",11,"MULTITEJIDO","'GSM1530015', 'GSM1530016', 'GSM1530017', 'GSM1530018', 'GSM1530019', 'GSM1530020', 'GSM1530021', 'GSM1530022', 'GSM1530023', 'GSM1530024', 'GSM1530025'"
"GSE62937",24,"MONOTEJIDO","ALL"
"GSE55057",12,"MONOTEJIDO","ALL"
"GSE39549",40,"MULTITEJIDO","'GSM971546', 'GSM971547', 'GSM971548', 'GSM971549', 'GSM971550', 'GSM971551', 'GSM971552', 'GSM971553', 'GSM971554', 'GSM971555', 'GSM971556', 'GSM971557', 'GSM971558', 'GSM971559', 'GSM971560', 'GSM971561', 'GSM971562', 'GSM971563', 'GSM971564', 'GSM971565', 'GSM971566', 'GSM971567', 'GSM971568', 'GSM971569', 'GSM971570', 'GSM971571', 'GSM971572', 'GSM971573', 'GSM971574', 'GSM971575', 'GSM971576', 'GSM971577', 'GSM971578', 'GSM971579', 'GSM971580', 'GSM971581', 'GSM971582', 'GSM971583', 'GSM971584', 'GSM971585'"
"GSE50647",42,"MONOTEJIDO","ALL"
