"","X","ranking","median","mean","sd"
"1","RPL19",327,0.0864542667098594,0.0951808124115879,0.0704687648500743
"2","UBC",1288,0.103046521743292,0.0931628371644465,0.0594227705349245
"3","HPRT1",8729,0.144506533802191,0.130731975402748,0.0736351103498023
"4","GAPDH",17617,0.179259210587364,0.145792889829771,0.0707698916885066
"5","PPIA",20218,0.192422749974408,0.165464199706648,0.0893040307516819
