GSEID,GPL,indicadorMT,muestrasSexo,anotacionSexo,sex_tags,nSamples_adi,nMales,nFemales,MaleGSMs,FemaleGSMs
GSE33070,GPL6244,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,26,10,16,"GSM819098', 'GSM819099', 'GSM819101', 'GSM819103', 'GSM819108', 'GSM819111', 'GSM819114', 'GSM819115', 'GSM819118', 'GSM819120'","GSM819096', 'GSM819097', 'GSM819100', 'GSM819102', 'GSM819104', 'GSM819105', 'GSM819106', 'GSM819107', 'GSM819109', 'GSM819110', 'GSM819112', 'GSM819113', 'GSM819116', 'GSM819117', 'GSM819119', 'GSM819121'"
GSE73655,GPL6244,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,20,6,14,"GSM1900070', 'GSM1900071', 'GSM1900072', 'GSM1900078', 'GSM1900087', 'GSM1900088'","GSM1900073', 'GSM1900074', 'GSM1900075', 'GSM1900076', 'GSM1900077', 'GSM1900079', 'GSM1900080', 'GSM1900081', 'GSM1900082', 'GSM1900083', 'GSM1900084', 'GSM1900085', 'GSM1900086', 'GSM1900089'"
GSE41223,GPL6244,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,20,4,16,"GSM1011037', 'GSM1011038', 'GSM1011039', 'GSM1011040'","GSM1011041', 'GSM1011042', 'GSM1011043', 'GSM1011044', 'GSM1011045', 'GSM1011046', 'GSM1011047', 'GSM1011048', 'GSM1011049', 'GSM1011050', 'GSM1011051', 'GSM1011052', 'GSM1011053', 'GSM1011054', 'GSM1011055', 'GSM1011056'"
GSE54280,GPL6244,MONOTEJIDO,AMBOS,SI,gender: male///gender: female,12,6,6,"GSM1311783', 'GSM1311784', 'GSM1311789', 'GSM1311790', 'GSM1311793', 'GSM1311794'","GSM1311785', 'GSM1311786', 'GSM1311787', 'GSM1311788', 'GSM1311791', 'GSM1311792'"
GSE73108,GPL10558,MONOTEJIDO,MUJERES,SI,gender: female,12,0,12,NULL,"GSM1886833', 'GSM1886834', 'GSM1886835', 'GSM1886836', 'GSM1886837', 'GSM1886838', 'GSM1886839', 'GSM1886840', 'GSM1886841', 'GSM1886842', 'GSM1886843', 'GSM1886844'"
GSE65221,GPL10558,MONOTEJIDO,AMBOS,SI,gender: Male///gender: Female,136,63,73,"GSM1590152', 'GSM1590154', 'GSM1590155', 'GSM1590156', 'GSM1590157', 'GSM1590158', 'GSM1590161', 'GSM1590162', 'GSM1590163', 'GSM1590165', 'GSM1590168', 'GSM1590169', 'GSM1590170', 'GSM1590171', 'GSM1590172', 'GSM1590175', 'GSM1590182', 'GSM1590183', 'GSM1590184', 'GSM1590185', 'GSM1590187', 'GSM1590189', 'GSM1590190', 'GSM1590192', 'GSM1590193', 'GSM1590194', 'GSM1590196', 'GSM1590198', 'GSM1590199', 'GSM1590201', 'GSM1590204', 'GSM1590205', 'GSM1590207', 'GSM1590210', 'GSM1590214', 'GSM1590215', 'GSM1590219', 'GSM1590222', 'GSM1590223', 'GSM1590227', 'GSM1590230', 'GSM1590235', 'GSM1590243', 'GSM1590247', 'GSM1590248', 'GSM1590252', 'GSM1590258', 'GSM1590259', 'GSM1590264', 'GSM1590266', 'GSM1590267', 'GSM1590269', 'GSM1590270', 'GSM1590271', 'GSM1590273', 'GSM1590274', 'GSM1590275', 'GSM1590276', 'GSM1590277', 'GSM1590278', 'GSM1590280', 'GSM1590283', 'GSM1590285'","GSM1590151', 'GSM1590153', 'GSM1590159', 'GSM1590160', 'GSM1590164', 'GSM1590166', 'GSM1590167', 'GSM1590173', 'GSM1590174', 'GSM1590176', 'GSM1590177', 'GSM1590178', 'GSM1590179', 'GSM1590180', 'GSM1590181', 'GSM1590186', 'GSM1590188', 'GSM1590191', 'GSM1590195', 'GSM1590197', 'GSM1590200', 'GSM1590202', 'GSM1590203', 'GSM1590206', 'GSM1590208', 'GSM1590209', 'GSM1590211', 'GSM1590212', 'GSM1590213', 'GSM1590216', 'GSM1590217', 'GSM1590218', 'GSM1590220', 'GSM1590221', 'GSM1590224', 'GSM1590225', 'GSM1590226', 'GSM1590228', 'GSM1590229', 'GSM1590231', 'GSM1590232', 'GSM1590233', 'GSM1590234', 'GSM1590236', 'GSM1590237', 'GSM1590238', 'GSM1590239', 'GSM1590240', 'GSM1590241', 'GSM1590242', 'GSM1590244', 'GSM1590245', 'GSM1590246', 'GSM1590249', 'GSM1590250', 'GSM1590251', 'GSM1590253', 'GSM1590254', 'GSM1590255', 'GSM1590256', 'GSM1590257', 'GSM1590260', 'GSM1590261', 'GSM1590262', 'GSM1590263', 'GSM1590265', 'GSM1590268', 'GSM1590272', 'GSM1590279', 'GSM1590281', 'GSM1590282', 'GSM1590284', 'GSM1590286'"
GSE119717,GPL10558,MULTITEJIDO,HOMBRES,SI,Sex: Male,60,60,0,"GSM3381381', 'GSM3381382', 'GSM3381383', 'GSM3381384', 'GSM3381389', 'GSM3381391', 'GSM3381397', 'GSM3381398', 'GSM3381401', 'GSM3381402', 'GSM3381404', 'GSM3381405', 'GSM3381408', 'GSM3381409', 'GSM3381410', 'GSM3381412', 'GSM3381413', 'GSM3381416', 'GSM3381419', 'GSM3381420', 'GSM3381421', 'GSM3381423', 'GSM3381425', 'GSM3381426', 'GSM3381427', 'GSM3381428', 'GSM3381429', 'GSM3381430', 'GSM3381432', 'GSM3381435', 'GSM3381438', 'GSM3381440', 'GSM3381441', 'GSM3381444', 'GSM3381447', 'GSM3381449', 'GSM3381453', 'GSM3381454', 'GSM3381460', 'GSM3381462', 'GSM3381464', 'GSM3381465', 'GSM3381469', 'GSM3381470', 'GSM3381474', 'GSM3381477', 'GSM3381479', 'GSM3381480', 'GSM3381482', 'GSM3381483', 'GSM3381487', 'GSM3381489', 'GSM3381490', 'GSM3381493', 'GSM3381495', 'GSM3381496', 'GSM3381497', 'GSM3381499', 'GSM3381504', 'GSM3381505'",NULL
GSE115645,GPL10558,MONOTEJIDO,AMBOS,SI,Sex: male///Sex: female,24,21,3,"GSM3186618', 'GSM3186619', 'GSM3186620', 'GSM3186621', 'GSM3186622', 'GSM3186623', 'GSM3186624', 'GSM3186625', 'GSM3186626', 'GSM3186627', 'GSM3186628', 'GSM3186629', 'GSM3186630', 'GSM3186631', 'GSM3186632', 'GSM3186633', 'GSM3186634', 'GSM3186635', 'GSM3186639', 'GSM3186640', 'GSM3186641'","GSM3186636', 'GSM3186637', 'GSM3186638'"
GSE43471,GPL6947,MONOTEJIDO,MUJERES,SI,gender: female,96,0,96,NULL,"GSM1063183', 'GSM1063184', 'GSM1063185', 'GSM1063186', 'GSM1063187', 'GSM1063188', 'GSM1063189', 'GSM1063190', 'GSM1063191', 'GSM1063192', 'GSM1063193', 'GSM1063194', 'GSM1063195', 'GSM1063196', 'GSM1063197', 'GSM1063198', 'GSM1063199', 'GSM1063200', 'GSM1063201', 'GSM1063202', 'GSM1063203', 'GSM1063204', 'GSM1063205', 'GSM1063206', 'GSM1063207', 'GSM1063208', 'GSM1063209', 'GSM1063210', 'GSM1063211', 'GSM1063212', 'GSM1063213', 'GSM1063214', 'GSM1063215', 'GSM1063216', 'GSM1063217', 'GSM1063218', 'GSM1063219', 'GSM1063220', 'GSM1063221', 'GSM1063222', 'GSM1063223', 'GSM1063224', 'GSM1063225', 'GSM1063226', 'GSM1063227', 'GSM1063228', 'GSM1063229', 'GSM1063230', 'GSM1063231', 'GSM1063232', 'GSM1063233', 'GSM1063234', 'GSM1063235', 'GSM1063236', 'GSM1063237', 'GSM1063238', 'GSM1063239', 'GSM1063240', 'GSM1063241', 'GSM1063242', 'GSM1063243', 'GSM1063244', 'GSM1063245', 'GSM1063246', 'GSM1063247', 'GSM1063248', 'GSM1063249', 'GSM1063250', 'GSM1063251', 'GSM1063252', 'GSM1063253', 'GSM1063254', 'GSM1063255', 'GSM1063256', 'GSM1063257', 'GSM1063258', 'GSM1063259', 'GSM1063260', 'GSM1063261', 'GSM1063262', 'GSM1063263', 'GSM1063264', 'GSM1063265', 'GSM1063266', 'GSM1063267', 'GSM1063268', 'GSM1063269', 'GSM1063270', 'GSM1063271', 'GSM1063272', 'GSM1063273', 'GSM1063274', 'GSM1063275', 'GSM1063276', 'GSM1063277', 'GSM1063278'"
GSE32512,GPL6947,MONOTEJIDO,HOMBRES,NO,NA,204,204,0,"GSM804886', 'GSM804887', 'GSM804888', 'GSM804889', 'GSM804890', 'GSM804891', 'GSM804892', 'GSM804893', 'GSM804894', 'GSM804895', 'GSM804896', 'GSM804897', 'GSM804898', 'GSM804899', 'GSM804900', 'GSM804901', 'GSM804902', 'GSM804903', 'GSM804904', 'GSM804905', 'GSM804906', 'GSM804907', 'GSM804908', 'GSM804909', 'GSM804910', 'GSM804911', 'GSM804912', 'GSM804913', 'GSM804914', 'GSM804915', 'GSM804916', 'GSM804917', 'GSM804918', 'GSM804919', 'GSM804920', 'GSM804921', 'GSM804922', 'GSM804923', 'GSM804924', 'GSM804925', 'GSM804926', 'GSM804927', 'GSM804928', 'GSM804929', 'GSM804930', 'GSM804931', 'GSM804932', 'GSM804933', 'GSM804934', 'GSM804935', 'GSM804936', 'GSM804937', 'GSM804938', 'GSM804939', 'GSM804940', 'GSM804941', 'GSM804942', 'GSM804943', 'GSM804944', 'GSM804945', 'GSM804946', 'GSM804947', 'GSM804948', 'GSM804949', 'GSM804950', 'GSM804951', 'GSM804952', 'GSM804953', 'GSM804954', 'GSM804955', 'GSM804956', 'GSM804957', 'GSM804958', 'GSM804959', 'GSM804960', 'GSM804961', 'GSM804962', 'GSM804963', 'GSM804964', 'GSM804965', 'GSM804966', 'GSM804967', 'GSM804968', 'GSM804969', 'GSM804970', 'GSM804971', 'GSM804972', 'GSM804973', 'GSM804974', 'GSM804975', 'GSM804976', 'GSM804977', 'GSM804978', 'GSM804979', 'GSM804980', 'GSM804981', 'GSM804982', 'GSM804983', 'GSM804984', 'GSM804985', 'GSM804986', 'GSM804987', 'GSM804988', 'GSM804989', 'GSM804990', 'GSM804991', 'GSM804992', 'GSM804993', 'GSM804994', 'GSM804995', 'GSM804996', 'GSM804997', 'GSM804998', 'GSM804999', 'GSM805000', 'GSM805001', 'GSM805002', 'GSM805003', 'GSM805004', 'GSM805005', 'GSM805006', 'GSM805007', 'GSM805008', 'GSM805009', 'GSM805010', 'GSM805011', 'GSM805012', 'GSM805013', 'GSM805014', 'GSM805015', 'GSM805016', 'GSM805017', 'GSM805018', 'GSM805019', 'GSM805020', 'GSM805021', 'GSM805022', 'GSM805023', 'GSM805024', 'GSM805025', 'GSM805026', 'GSM805027', 'GSM805028', 'GSM805029', 'GSM805030', 'GSM805031', 'GSM805032', 'GSM805033', 'GSM805034', 'GSM805035', 'GSM805036', 'GSM805037', 'GSM805038', 'GSM805039', 'GSM805040', 'GSM805041', 'GSM805042', 'GSM805043', 'GSM805044', 'GSM805045', 'GSM805046', 'GSM805047', 'GSM805048', 'GSM805049', 'GSM805050', 'GSM805051', 'GSM805052', 'GSM805053', 'GSM805054', 'GSM805055', 'GSM805056', 'GSM805057', 'GSM805058', 'GSM805059', 'GSM805060', 'GSM805061', 'GSM805062', 'GSM805063', 'GSM805064', 'GSM805065', 'GSM805066', 'GSM805067', 'GSM805068', 'GSM805069', 'GSM805070', 'GSM805071', 'GSM805072', 'GSM805073', 'GSM805074', 'GSM805075', 'GSM805076', 'GSM805077', 'GSM805078', 'GSM805079', 'GSM805080', 'GSM805081', 'GSM805082', 'GSM805083', 'GSM805084', 'GSM805085', 'GSM805086', 'GSM805087', 'GSM805088', 'GSM805089'",NULL
