GSEIDs,nSamples_tot,nSamples_adi,indicadorMT,adiGSMs
GSE32512,204,204,MONOTEJIDO,ALL
GSE27666,175,175,MONOTEJIDO,ALL
GSE22070,142,142,MONOTEJIDO,ALL
GSE43471,96,96,MONOTEJIDO,ALL
GSE27121,70,70,MONOTEJIDO,ALL
GSE112307,54,54,MONOTEJIDO,ALL
GSE23506,36,36,MONOTEJIDO,ALL
GSE29231,24,24,MONOTEJIDO,ALL
GSE29226,24,24,MONOTEJIDO,ALL
GSE22651,65,3,MULTITEJIDO,"'GSM561902', 'GSM561903', 'GSM561932'"
GSE30652,239,2,MULTITEJIDO,"'GSM760172', 'GSM760190'"
GSE30654,239,2,MULTITEJIDO,"'GSM760172', 'GSM760190'"
