"GSEIDs","nSamples_adi","indicadorMT","adiGSMs"
"GSE25401",56,"MONOTEJIDO","ALL"
"GSE70529",36,"MONOTEJIDO","ALL"
"GSE62832",36,"MONOTEJIDO","ALL"
"GSE25910",36,"MONOTEJIDO","ALL"
"GSE20571",27,"MONOTEJIDO","ALL"
"GSE37324",26,"MONOTEJIDO","ALL"
"GSE33070",26,"MONOTEJIDO","ALL"
"GSE73655",20,"MONOTEJIDO","ALL"
"GSE34302",20,"MONOTEJIDO","ALL"
"GSE41223",20,"MONOTEJIDO","ALL"
"GSE38792",18,"MONOTEJIDO","ALL"
"GSE54280",12,"MONOTEJIDO","ALL"
"GSE59325",10,"MONOTEJIDO","ALL"
