"","GSEIDs","nSamples_adi","indicadorMT","adiGSMs"
"1","GSE73108",12,"MONOTEJIDO","ALL"
"2","GSE72158",84,"MONOTEJIDO","ALL"
"3","GSE65221",136,"MONOTEJIDO","ALL"
"4","GSE58559",170,"MONOTEJIDO","ALL"
"5","GSE42809",12,"MONOTEJIDO","ALL"
"6","GSE119717",60,"MULTITEJIDO","'GSM3381381', 'GSM3381382', 'GSM3381383', 'GSM3381384', 'GSM3381389', 'GSM3381391', 'GSM3381397', 'GSM3381398', 'GSM3381401', 'GSM3381402', 'GSM3381404', 'GSM3381405', 'GSM3381408', 'GSM3381409', 'GSM3381410', 'GSM3381412', 'GSM3381413', 'GSM3381416', 'GSM3381419', 'GSM3381420', 'GSM3381421', 'GSM3381423', 'GSM3381425', 'GSM3381426', 'GSM3381427', 'GSM3381428', 'GSM3381429', 'GSM3381430', 'GSM3381432', 'GSM3381435', 'GSM3381438', 'GSM3381440', 'GSM3381441', 'GSM3381444', 'GSM3381447', 'GSM3381449', 'GSM3381453', 'GSM3381454', 'GSM3381460', 'GSM3381462', 'GSM3381464', 'GSM3381465', 'GSM3381469', 'GSM3381470', 'GSM3381474', 'GSM3381477', 'GSM3381479', 'GSM3381480', 'GSM3381482', 'GSM3381483', 'GSM3381487', 'GSM3381489', 'GSM3381490', 'GSM3381493', 'GSM3381495', 'GSM3381496', 'GSM3381497', 'GSM3381499', 'GSM3381504', 'GSM3381505'"
"7","GSE115645",24,"MONOTEJIDO","ALL"
