"","X","ranking","median","mean","sd"
"1","HPRT1",3647,0.0678257926006544,0.103899289787958,0.10375804825125
"2","RPL19",4860,0.0736192919744691,0.0827620444131126,0.0785277513263048
"3","RNA18S5",9537,0.0873075011165488,0.209572015582955,0.224366753116855
"4","UBC",24675,0.149867738767092,0.138756222771245,0.126998483006506
"5","PPIA",27340,0.177786268764765,0.177271389337014,0.138063551962673
"6","GAPDH",29604,0.219538093586694,0.166173302157273,0.124162934891251
