"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"23177","Gm17305",8596,0.0198505779364763,6
"3488","Ankle2",8597,0.0198526050091576,35
"31157","9830138G03Rik",8598,0.0198535812752236,7
"7249","Dctn4",8599,0.0198537333015637,43
"22726","Gm11502",8600,0.019863696485352,6
"675","2610001J05Rik",8601,0.0198658830639731,34
"34082","D830041F06Rik",8602,0.0198667044283238,7
"28514","1700081D05Rik",8603,0.0198696890368216,7
"38417","LOC383099",8604,0.0198713916752393,7
"28087","0710007J16Rik",8605,0.0198714783077956,7
"30754","9030605E16Rik",8606,0.019871863056297,7
"31979","A830084P16Rik",8607,0.0198723618027526,7
"40793","Rai3",8608,0.0198731780039849,7
"21709","A530095I07Rik",8609,0.0198768395050343,13
"46408","LOC100046079",8610,0.0198780500423425,5
"24180","Gm26980",8611,0.019879081378433,6
"12038","Lamp1",8612,0.0198801667633367,42
"23781","Gm24621",8613,0.0198801765789156,6
"38165","LOC382140",8614,0.0198802270756123,7
"32538","B430302L04Rik",8615,0.0198823474225219,7
"14272","Nploc4",8616,0.0198828587623422,34
"28142","1110014N23Rik",8617,0.01988514268565,13
"20603","Vps28",8618,0.0198874867772095,42
"34720","EG433623",8619,0.0198877966316568,7
"36872","LOC229494",8620,0.0198899257154634,7
"7250","Dctn5",8621,0.0198899798972626,42
"38625","LOC383809",8622,0.0198914665806198,7
"15100","Pex2",8623,0.0198931368674794,43
"31126","9630050A07Rik",8624,0.0198934801145179,7
"36055","LOC100045002",8625,0.0198942641249839,7
"24622","Gm7572",8626,0.0198943781160799,6
"32736","BC026439",8627,0.0198945543927425,15
"41585","V1rg8",8628,0.0198949855480123,14
"41650","Wdr45l",8629,0.0198953019312415,21
"30036","4933403F05Rik",8630,0.019895483471485,19
"35361","Gna-rs1",8631,0.0198964299263084,16
"31278","A130032P05Rik",8632,0.0198970237386992,7
"22778","Gm12015",8633,0.0198991905386066,6
"34098","D930007M19Rik",8634,0.0199002118839393,7
"37729","LOC380959",8635,0.0199034228614766,7
"29247","2810430B18Rik",8636,0.0199077598739574,7
"38960","LOC384842",8637,0.0199081962634118,7
"8331","Exoc2",8638,0.0199102399575137,35
"13104","Med8",8639,0.019913520245961,34
"30332","5830411E10Rik",8640,0.0199162040353138,8
"36435","LOC100048082",8641,0.0199163790339689,7
"17273","Sdhaf2",8642,0.0199184626023971,27
"40882","scl000034.1_162_REVCOMP",8643,0.01991849781642,7
