"","ranking","median","mean","sd"
"Tcl1b3",1,0.0153298284615159,0.0541098933455397,0.0577743301945622
"Cdh8",2,0.0159042406631652,0.0675878690491028,0.0973407737607986
"Tll2",3,0.0183162731716441,0.0971306572081164,0.130862417014814
"Nalp5",4,0.0191072135652154,0.0577724169881386,0.0705421493071056
"Olfr103",5,0.0193545618013828,0.0768729155704373,0.0969832119932074
"Olfr360",6,0.0203238448971151,0.063394087878073,0.0787280964033168
"Gk2",7,0.0206003568393859,0.112762994446112,0.169021507868609
"Dlx5",8,0.0210192594292978,0.0958463434101445,0.138025345741901
"Adra1d",9,0.0219888210294164,0.0819764579513105,0.107413865621169
"Olfr1206",10,0.0219912292342171,0.110094236398322,0.177293209654525
"Obox3",11,0.0220274909196848,0.0885392955736543,0.107024453457944
"Psg19",12,0.0222655989392504,0.0705964974557318,0.0832027225893937
"Sema6c",13,0.0224326866109196,0.131358909164312,0.206156839215989
"6430502M16Rik",14,0.0225853630232738,0.167715346591047,0.245792901478274
"Olfr1242",15,0.0227904573434868,0.134486214891263,0.215635453730207
"Serpinb3d",16,0.0228518880725589,0.0945632224883589,0.138025564849573
"Olfr955",17,0.0229536057542646,0.132692535549984,0.166436225118397
"Olfr1396",18,0.0231197855586225,0.0765090567523868,0.0954798310142483
"Tmem16d",19,0.0231341755332769,0.117974810129947,0.149209849982688
"Cacna1c",20,0.0231667491434591,0.0590791856415341,0.0647290088295917
"BC117090",21,0.0232182679458825,0.134066721798129,0.221960214529895
"1200008A14Rik",22,0.0232652908638928,0.0908422035544144,0.11549377998338
"Olfr1352",23,0.0233546442229839,0.0870345070895173,0.103030837782768
"Tlx1",24,0.0235152152533413,0.086857426117913,0.118540145678016
"2610109H07Rik",25,0.0236187156991981,0.0659127434345226,0.0757234481556812
"Ksr2",26,0.0236250289166198,0.121951633430414,0.1757366103282
"Chrnd",27,0.0238584664405697,0.113141303847283,0.154852047953619
"Ftl2",28,0.0239227908068242,0.0874811551913318,0.103361745207195
"2410080H04Rik",29,0.0239545765625402,0.0941131366407319,0.128752009436684
"Spam1",30,0.0240062876196067,0.0714700824837933,0.0946855285419824
"Olfr597",31,0.0240915804558029,0.108573458707067,0.141488161342269
"Olr1",32,0.0242263470471651,0.0810795184201859,0.0960369417566933
"Gpr37",33,0.024283725623562,0.161792619955019,0.241723469746924
"Tead1",34,0.0244325439448265,0.141210668168271,0.218164732558612
"D930016N04Rik",35,0.0244858755508109,0.0672352302835284,0.0708527750343586
"Xlr",36,0.024532954538558,0.127119478541048,0.170133901158513
"Dnmt3a",37,0.0245597350976253,0.125404012565353,0.179273793404351
"4930433I11Rik",38,0.0245639087616185,0.0749678704811312,0.0966762076116513
"Cnbp2",39,0.0246581733190737,0.0863575365630015,0.111742517132335
"Olfr961",40,0.0247236352414978,0.0751431677332259,0.0981224677986056
"4732454E20Rik",41,0.0248208159180927,0.112742606170163,0.15237480114481
"D030018L15Rik",42,0.0248265997446961,0.152780150136997,0.206446776829604
