GSEIDs,nSamples_tot,nSamples_adi,indicadorMT,adiGSMs,
GSE33684,16,16,MONOTEJIDO,ALL,***REVISADO
GSE123990,12,12,MONOTEJIDO,ALL,"***REVISADO, todos machos"
GSE113808,16,16,MONOTEJIDO,ALL,
GSE111735,8,8,MONOTEJIDO,ALL,
GSE118034,24,6,MULTITEJIDO,"'GSM3317390', 'GSM3317391', 'GSM3317392', 'GSM3317393', 'GSM3317394', 'GSM3317395'",
GSE104128,31,16,MULTITEJIDO,"'GSM2790383', 'GSM2790384', 'GSM2790385', 'GSM2790386', 'GSM2790387', 'GSM2790388', 'GSM2790389', 'GSM2790390', 'GSM2790391', 'GSM2790392', 'GSM2790393', 'GSM2790394', 'GSM2790395', 'GSM2790396', 'GSM2790397', 'GSM2790398'",
GSE97910,72,72,MONOTEJIDO,ALL,
GSE63761,8,8,MONOTEJIDO,ALL,
GSE70857,96,48,MULTITEJIDO,"'GSM1820563', 'GSM1820564', 'GSM1820565', 'GSM1820566', 'GSM1820567', 'GSM1820568', 'GSM1820569', 'GSM1820570', 'GSM1820571', 'GSM1820572', 'GSM1820573', 'GSM1820574', 'GSM1820587', 'GSM1820588', 'GSM1820589', 'GSM1820590', 'GSM1820591', 'GSM1820592', 'GSM1820593', 'GSM1820594', 'GSM1820595', 'GSM1820596', 'GSM1820597', 'GSM1820598', 'GSM1820611', 'GSM1820612', 'GSM1820613', 'GSM1820614', 'GSM1820615', 'GSM1820616', 'GSM1820617', 'GSM1820618', 'GSM1820619', 'GSM1820620', 'GSM1820621', 'GSM1820622', 'GSM1820635', 'GSM1820636', 'GSM1820637', 'GSM1820638', 'GSM1820639', 'GSM1820640', 'GSM1820641', 'GSM1820642', 'GSM1820643', 'GSM1820644', 'GSM1820645', 'GSM1820646'",
GSE64770,112,0,MONOTEJIDO,"'NA’,","***REVISADO, superserie, las muestras de adiposo estan en otra plataforma, esta GPL solo tiene muestras de musculo esqueletico"
GSE62324,12,12,MONOTEJIDO,ALL,
GSE40428,16,8,MULTITEJIDO,"'GSM993825', 'GSM993826', 'GSM993827', 'GSM993828', 'GSM993829', 'GSM993830', 'GSM993831', 'GSM993832'",
GSE57659,179,179,MONOTEJIDO,ALL,
GSE39313,48,16,MULTITEJIDO,"'GSM960692', 'GSM960693', 'GSM960694', 'GSM960695', 'GSM960696', 'GSM960697', 'GSM960698', 'GSM960699', 'GSM960700', 'GSM960701', 'GSM960718', 'GSM960719', 'GSM960720', 'GSM960721', 'GSM960722', 'GSM960723'",
GSE29502,8,8,MONOTEJIDO,ALL,
