"Gene","metaRanking","RP"
"RNU6-624P",218,391.6
"RNU11-5P",219,395
"RNU2-40P",220,396.3
"RPL36AP40",221,397.7
"MIR4746",222,399.3
"POTEJ",223,400.7
"SLC25A52",224,402.3
"RNU6-380P",225,404.3
"SIAH1P1",226,406.3
"RNU6-802P",227,408.3
"RN7SKP85",228,412.2
"RPL10AP6",229,413.5
"LOC102724970",230,415.1
"RN7SKP44",231,417.2
"TNFAIP8L2-SCNM1",232,418.6
"RN7SL861P",233,420.5
"RNA5SP379",234,423.3
"RN7SKP62",235,425.1
"SPDYE5",236,428.2
"GS1-164F24.1",237,431.1
"ZAR1L",238,432.7
"CHMP4BP1",239,434
"FAM138D",240,435.3
"RNLS",241,437.5
"NDUFAF6",242,437.7
"RNU6-387P",243,441.7
"NAA38",244,443.1
"RNU6-983P",245,443.3
"RNU6-1276P",246,445.1
"RNA5SP462",247,446.7
"RNU6-1246P",248,448.1
"YWHAQP8",249,451.9
"OR7E155P",250,453.7
"RNU6-406P",251,455.6
"RNU6-424P",252,457.1
"RN7SKP115",253,458.8
"RPL7AP66",254,461.1
"CACFD1",255,463.5
"RNU5A-4P",256,464
"ACTBP2",257,465.3
"HMGB1P10",258,467.2
"RNU6-1339P",259,469
"AATK-AS1",260,470.4
"RN7SL762P",261,472.7
"TPT1P13",262,474.2
"CTAGE3P",263,477.7
"RP11-395I6.3",264,481.1
"RPS20P27",265,484
"RNA5SP188",266,485.2
"LINC00535",267,487
"HNRNPA1P12",268,488.4
"RPS2P52",269,489.7
"FAM136BP",270,494.4
"SNRPD2P1",271,496.3
"RN7SL336P",272,497.8
"FIRRE",273,499
"RNU6-168P",274,501
"ST13P4",275,503.4
"RNU6-1062P",276,506.1
"MTND4P1",277,510.3
"RNU6-366P",278,511.9
"FTH1P18",279,514.7
"RPL21P131",280,516.8
"SNORD115-23",281,519.5
"FAM86JP",282,521.3
"RNU5E-5P",283,523.3
"CYP2D7P",284,524.8
"RN7SKP81",285,526.2
"LOC101928700",286,527.7
"RNU2-70P",287,529.6
"RNU6-909P",288,531.1
"COX2",289,531.5
"RN7SL293P",290,533.8
"RNU6-947P",291,535.3
"LRRC37A11P",292,537.2
"RN7SKP161",293,540.7
"LOC100289580",294,541.9
"RNU6-1195P",295,543.4
