"Gene","metaRanking","RP"
"LOC341689",235,626.1
"LOC100127971",236,629.6
"EEF1DP3",237,635.7
"RN7SL148P",238,637.9
"C12orf51",239,641.5
"LOC100129315",240,642.9
"EIF3L",241,643.7
"LOC100129081",242,645.6
"LOC730631",243,647.1
"LOC442609",244,650.5
"LOC100128585",245,653.4
"LOC729327",246,657.9
"FAM13AOS",247,660.2
"LOC730978",248,662.6
"LOC392435",249,665.1
"GNB1",250,665.1
"LOC441089",251,667.3
"C20orf56",252,669.8
"RNU86",253,670.1
"LOC728672",254,671.8
"MTCH1",255,673.3
"LOC731797",256,677
"LOC646201",257,678.9
"LOC727941",258,680.4
"LOC100130819",259,686.6
"LOC728139",260,694.3
"LOC727918",261,698
"RPS11",262,698.6
"LOC728162",263,699.4
"LOC100132215",264,701.5
"LOC646754",265,703.9
"LOC728611",266,706.4
"FAM120AOS",267,706.8
"LOC644517",268,708.6
"LOC100133600",269,710.5
"MRPS21P2",270,712.1
"UBC",271,712.4
"LOC643531",272,713.6
"EIF2B4",273,714.3
"C4orf44",274,715
"MAPKSP1",275,719.6
"LOC100132909",276,722
"LOC401007",277,725.9
"LOC653753",278,727.8
"TRAPPC2P1",279,731.5
"FAM104A",280,734.5
"LOC100130345",281,734.6
"DEM1",282,738.1
"LOC644604",283,740.8
"LOC100131243",284,742.5
"RNASEK",285,743.9
"LOC100130155",286,747
"YWHAZP3",287,749
"LOC100132911",288,750.9
"RPL13A",289,755.6
"SPATA31A3",290,756.8
"RNU6-1161P",291,760.9
"RPL32",292,761.5
"LUZP6",293,764
"LOC100129936",294,765.5
"LOC390251",295,770.5
"RN7SL352P",296,772.3
"ANXA2P2",297,775.1
"LOC100132369",298,776
"LOC100134291",299,777.4
"NUTM2G",300,779.2
"LOC642357",301,782
"BRK1",302,782.1
"PTMAP5",303,793.3
"LOC729231",304,794.8
"LOC728128",305,798.4
"LOC646316",306,804.6
"MIR6890",307,809.1
"LOC442249",308,814.3
"LOC100128131",309,816.2
"LOC100128693",310,818.2
"LOC729080",311,820.3
"LOC647597",312,824.1
"LOC100131830",313,827
"LOC100129571",314,828.7
"GNB2L1",315,830.7
"LOC730974",316,831.6
"CARKD",317,833.6
"PRAMEF3",318,836.2
"RPL18",319,838.6
"LOC400129",320,839
"LOC100130852",321,840.5
"LOC440180",322,842.1
"DAZAP2P1",323,848.2
"LOC730474",324,851.3
"LOC100131389",325,854.1
"LOC100130814",326,855.5
"LOC728210",327,860.9
"KRT18P26",328,862.2
"LOC138864",329,864.4
"RPRD1B",330,864.8
"LOC399988",331,866.7
"PRAMEF15",332,869.8
"FLJ43859",333,872.2
"RN7SKP110",334,875.3
"ADH5P4",335,877.8
"LOC286456",336,879.3
"LOC100132870",337,882.9
"LOC388795",338,885.1
"LOC100129058",339,886.7
"LOC730087",340,890.8
"LOC100129513",341,892.2
"RPL7P23",342,893.7
"LOC729225",343,895.6
"LOC100131653",344,898.6
"RPL37",345,900.2
"CLP1",346,901.7
"LOC399851",347,903.3
"LOC100133273",348,906.3
"LOC727838",349,907.6
"UBB",350,911.9
"LOC100128023",351,912
"LOC284230",352,913.3
"CHCHD2P8",353,919.5
"LOC100128435",354,921.4
"MGC3771",355,924.1
"LOC100129060",356,927.4
"LOC100130880",357,929
"LOC100128283",358,930.7
"RTCB",359,931.9
"RN7SKP206",360,932.4
"LOC391670",361,934.7
"RN7SL111P",362,936.2
"LOC285634",363,939.3
"LOC100128334",364,940.7
"FAM54B",365,942.6
"LOC100129193",366,943.9
"HEATR7B2",367,945.4
"NACA3P",368,948.9
"LOC440040",369,953
"VSTM2B",370,954.6
"LOC100133772",371,955.6
"RNU6-823P",372,957.7
"LOC100133169",373,959.8
"SKOR1",374,961.2
"DTX2P1-UPK3BP1-PMS2P11",375,961.2
"LOC730275",376,964.4
"ZNF806",377,966.4
"LOC100130633",378,967.8
"LOC653687",379,971
"LOC728716",380,972.5
"SARAF",381,972.9
"LOC100129795",382,974
"FAM86JP",383,975.6
"YTHDF2",384,976.7
"KRT18P42",385,977.9
"BAT2L",386,979.3
"RNU1-34P",387,981.4
"LOC100131794",388,986
"LOC728401",389,993.3
"CHMP4B",390,995.6
"PSME1",391,998.7
"LOC100130358",392,999.5
"RPL12",393,1001
"LOC729090",394,1002
"CNOT11",395,1003
"LOC100128115",396,1005
"LOC729356",397,1007
"LOC440595",398,1012
"LOC441736",399,1014
"CTGLF7",400,1016
"LOC730517",401,1018
"LOC100129381",402,1021
"GOLGA6L10",403,1023
"LOC730839",404,1030
"LOC100128747",405,1032
"CNPPD1",406,1033
"LOC121906",407,1034
"LOC100131514",408,1036
"TMEM179B",409,1036
"LOC100131149",410,1039
"RN7SL454P",411,1043
"LOC100132469",412,1051
"LOC100130172",413,1054
"LOC100129201",414,1056
"FTH1P18",415,1058
"LOC393078",416,1064
"PUM1",417,1067
"C3orf71",418,1068
"ACTB",419,1068
"LOC653117",420,1069
"FLJ35379",421,1074
"JCLN",422,1078
"TERF2IP",423,1079
"LOC646034",424,1081
"RPL29P12",425,1082
"MIR488",426,1084
"LOC642305",427,1087
"LOC651861",428,1090
"LOC730032",429,1094
"LOC100129915",430,1097
"NUPR1L",431,1101
"MDP1",432,1106
"LOC730861",433,1106
"LOC728450",434,1108
"LOC442319",435,1110
"MIR6805",436,1111
"RABL2B",437,1113
"CDV3P1",438,1115
"SRSF9",439,1117
"LOC100129786",440,1120
"CPSF7",441,1120
"CAP1",442,1121
"LOC729956",443,1123
"GCNT6",444,1125
"LOC100131315",445,1127
"PPIAL4G",446,1129
"LOC100130420",447,1131
"LOC100129827",448,1132
"C17orf95",449,1134
"BASE",450,1136
"LOC727977",451,1138
"LOC100131801",452,1140
"LOC102723566",453,1142
"RP3-486D24.1",454,1144
"LOC391334",455,1146
"RN7SKP168",456,1148
"TMSB4X",457,1149
"LOC283523",458,1149
"LOC100129267",459,1152
"LOC284412",460,1158
"LOC100132068",461,1160
"LOC100127920",462,1166
"LOC729141",463,1167
"LOC440041",464,1169
"FAM160B1",465,1173
"LOC729986",466,1173
"MTMR3",467,1174
"CORO7-PAM16",468,1175
"C16orf91",469,1177
"LOC100128006",470,1177
"LOC100131085",471,1179
"LOC100131909",472,1180
"LOC100128842",473,1183
"LOC100127989",474,1186
"TMBIM6",475,1189
"LOC401076",476,1189
"LOC100133311",477,1192
"RPL15",478,1193
"LOC729454",479,1198
"LOC729828",480,1201
"LOC642741",481,1204
"LOC100128997",482,1207
"LOC341784",483,1209
"LOC791120",484,1211
"EXD2",485,1212
"LOC729948",486,1215
"LOC100128366",487,1217
"BTF3",488,1218
"PGPEP1L",489,1218
"LOC100132884",490,1220
"BRD7",491,1221
"LOC100132430",492,1222
"LOC100131573",493,1225
"PPIA",494,1225
"C14orf167",495,1227
"LOC730110",496,1229
"LOC146481",497,1230
"LOC441013",498,1232
"RNF114",499,1234
"TIMM10B",500,1238
"LOC100131247",501,1239
"RNF222",502,1241
"LOC728170",503,1244
"LOC646936",504,1246
"LOC100131308",505,1249
"LOC643015",506,1252
"LOC728991",507,1254
"LOC729400",508,1256
"LOC653550",509,1258
"LOC646282",510,1264
"PDF",511,1265
"GNAS",512,1266
"LOC100128542",513,1270
"LOC728522",514,1272
"LOC729862",515,1274
"LOC729275",516,1276
"STAU1",517,1277
"LOC100128770",518,1278
"LOC100188947",519,1280
"PRSS45",520,1282
"LOC100130341",521,1284
"LOC100129070",522,1287
"LOC100128973",523,1289
"TMCO7",524,1290
"LOC727828",525,1298
"RN7SL614P",526,1299
"LOC100132763",527,1302
"LOC730351",528,1304
"FOLR4",529,1305
"LOC731932",530,1307
"ESP33",531,1310
"IGLV9-49",532,1312
"LOC100130884",533,1313
"RN7SKP87",534,1316
"LOC651452",535,1319
"PPIAP11",536,1321
"MLST8",537,1321
"LOC100128949",538,1326
"LOC100130092",539,1328
