"","X","ranking","median","mean","sd"
"1","RPL19",35,0.0118397751429605,0.100019161417814,0.16309219810917
"2","RNA18SN5",11138,0.102328135195638,0.16162686094419,0.105382112309106
"3","HPRT1",13510,0.111449623750016,0.19205392211351,0.204560329909576
"4","GAPDH",26814,0.199770079046671,0.183458324096913,0.140490452407602
"5","PPIA",28235,0.226288005880878,0.178961658972341,0.117592394169766
"6","UBC",28893,0.24134495402991,0.254856591310723,0.249860227382442
