"","ranking","median","mean","sd"
"CRK",93,0.0262057948124002,0.0814130977264973,0.0878958860896003
"BRD3",94,0.0262189268661748,0.120111440176194,0.156578995844634
"C2orf68",95,0.0263273830108435,0.0779970045265421,0.0963192619716632
"NF2",96,0.0263312466600767,0.106695536874846,0.131528156873963
"RAB11B",97,0.0263695282059692,0.108185029889385,0.133156918686143
"HUWE1",98,0.0263882671429689,0.101149779278098,0.117977134899829
"NUS1",99,0.0264094324163135,0.0915226317613461,0.0975490370535107
"PTP4A2",100,0.026436424788167,0.0897778925079095,0.102397867150769
"ZNRF1",101,0.0264518275430384,0.112820660171117,0.133500282073109
"RRAGA",102,0.0264710263709181,0.0953918458348705,0.113846538296957
"RAD23B",103,0.0264864298046316,0.0903875927249847,0.108199525727016
"RANBP3",104,0.0265498709315782,0.0895182105701503,0.104233355822432
"HERPUD2",105,0.0265860317646594,0.123216571442435,0.167402122703728
"PURB",106,0.0266419744143216,0.094382910710108,0.114996039008186
"SAP30BP",107,0.0266644508049184,0.106683514571021,0.121345380549356
"ZNF282",108,0.0267866375831224,0.101609564312211,0.125323407129337
"PPIA",109,0.0268251237094769,0.10190891282493,0.12766775734204
"MAPK1",110,0.0268335135941935,0.111787740957109,0.13701198418877
"TMED7-TICAM2",111,0.0268417756765376,0.104725890989175,0.113440352878806
"POTEJ",112,0.026905841258538,0.134032232680756,0.168742152567024
"STAU1",113,0.0269306589237921,0.0976700711748031,0.116645204179496
"OSBP",114,0.0269468254932141,0.0984093771702363,0.11362805275708
"KLHL35",115,0.0269510090673574,0.128632124948282,0.151884028913551
"PRKAB1",116,0.026967987941328,0.0914028138958709,0.103984755372522
"FXR2",117,0.0269771683314573,0.112900931100373,0.126032810567096
"CANX",118,0.0270023684255727,0.100855489941952,0.109828103035123
"MGC72080",119,0.027033905574008,0.11237684356196,0.132993714841296
"MBTPS1",120,0.0270777370566028,0.101806968165226,0.125253202851597
"RALBP1",121,0.0270926970430053,0.1081895791102,0.121822408061741
"FAM127B",122,0.0271028287215581,0.112883097776922,0.136633512588759
"NBPF9",123,0.0271503774355348,0.0995246429198732,0.121584763999092
"PUF60",124,0.0271579127054774,0.0979789472193887,0.11353160702486
"AK3",125,0.0271713587712965,0.122052759775671,0.14740368485949
"UBE2E1",126,0.0271737602398319,0.111378589989652,0.126454754763522
"CAPNS1",127,0.027180948783891,0.107499665749085,0.123153006296008
"ATP5H",128,0.0271852491918334,0.112928548195702,0.127442314833843
"ANKHD1",129,0.0271872002934667,0.0970788247248316,0.122454330160229
"ZBTB48",130,0.0271931103564487,0.147679586422026,0.180699673588463
"ACTB",131,0.027193200164275,0.111099518734459,0.131511051956265
"RSU1",132,0.0272007207686581,0.115327827482823,0.130279833750585
"LSM14A",133,0.0272242039949695,0.0963345840797581,0.121874170582203
"MORF4L1",134,0.0272321264314252,0.0811102344135282,0.0951730669936232
"ZBTB8A",135,0.0272658900809591,0.0954070798976985,0.0994528871484916
"KPNB1",136,0.0272695195888047,0.0876966680665039,0.0948039951209756
"NACA",137,0.0272822800512485,0.103886375233251,0.138534771968511
"NDUFS6",138,0.0273098427750149,0.124867002129293,0.148720464170484
"PSKH1",139,0.0273158643087334,0.129261807798091,0.160543084359151
"TTLL11",140,0.0273242125223929,0.0932853471704291,0.114828257209449
"PDF",141,0.0273900213361701,0.0836120338887026,0.0884798826571946
"HNRNPL",142,0.0274370222959667,0.100357265980151,0.119213794080234
"EEF1G",143,0.0274472819832923,0.0843981178212146,0.0969134732138548
"YWHAE",144,0.0275028801857816,0.0946696834031337,0.116118882023951
"BTF3",145,0.0275509352770527,0.0874067785098327,0.0940325051025687
"EIF3G",146,0.0275855724455985,0.117162817572214,0.158913085376857
"CDYL",147,0.0275971639955016,0.130606482341101,0.165295489955364
"RPL6",148,0.0276014656117091,0.100230828431137,0.123114827939049
"AP2S1",149,0.0276098311092617,0.127750179819851,0.154408884997638
"YTHDF3",150,0.0276339411884173,0.113305359639462,0.134754060398992
"SMARCC2",151,0.0276562005183585,0.0906963253209922,0.100823979133584
"PURA",152,0.0276868872762778,0.0943912624117091,0.109934572685622
"PSME1",153,0.0277003625276716,0.170366441061544,0.220981338953309
"UBTF",154,0.0277072825539254,0.123509758471174,0.15220407593216
