"","X","ranking","median","mean","sd"
"1","UBC",5,0.0151579748055541,0.0653413251340953,0.0760174229150756
"2","PPIA",109,0.0268251237094769,0.10190891282493,0.12766775734204
"3","RPL19",267,0.0296798267154502,0.117728767926394,0.143279628627976
"4","GAPDH",3225,0.0424664299998703,0.0997803128079082,0.126546420673113
"5","HPRT1",6818,0.0514843164120244,0.154917842675977,0.157529730866216
"6","RNA18S5",9267,0.0574897790457064,0.106478398166256,0.121941631162382
