"X","medianGPL1261","medianGPL6246","medianGPL6887","medianGPL6885","medianGPL16570"
"0610038F07Rik",NA,NA,0.0194770864323148,0.120608299629019,NA
"0610038F15Rik",NA,NA,0.0401704364668742,NA,NA
"0610038K03Rik",NA,NA,NA,0.105276481579848,NA
"0610038L08Rik",NA,NA,NA,NA,0.0358065293790594
"0610039D01Rik",NA,NA,NA,0.0907878666392267,NA
"0610039J04Rik",NA,NA,NA,0.0780001510485154,NA
"0610039K10Rik",0.0583250636891207,0.0232169370195628,0.0143047759669707,NA,0.0345039891943806
"0610039N19Rik",NA,NA,NA,0.185553539663737,NA
"0610039P13Rik",NA,NA,NA,0.208670483536074,NA
"0610040A22Rik",0.116819230603085,NA,NA,NA,NA
"0610040B10Rik",0.0759582077925461,0.0273874855500484,0.0398719659248306,NA,0.0406220928697128
"0610040B21Rik",NA,NA,NA,0.170689569782967,NA
"0610040D20Rik",NA,NA,NA,0.0631396471311032,NA
"0610040F04Rik",0.0694116203007193,NA,NA,NA,0.0327702335926824
"0610040J01Rik",0.0815599361533575,0.02554597980554,0.0232781982378962,0.100101064186453,0.0333687377301786
"0610040O15Rik",NA,NA,0.0118902113265313,NA,NA
"0610041B22Rik",NA,NA,NA,0.113983947070795,NA
"0610041E09Rik",NA,NA,0.0115716825763365,0.111698015967983,NA
"0610041G09Rik",NA,NA,NA,0.240530392185569,NA
"0610042C05Rik",NA,NA,0.0278789278334163,NA,NA
"0610042E07Rik",NA,NA,NA,0.0945768220230903,NA
"0610042E11Rik",0.0601267983417745,NA,NA,NA,NA
"0610043K17Rik",NA,NA,NA,NA,0.0404917380417621
"0710001A04Rik",0.0422913738868696,NA,NA,NA,NA
"0710001B24Rik",NA,NA,NA,0.173859962317577,NA
"0710001C05Rik",NA,NA,0.0271097394360132,NA,NA
"0710001D07Rik",0.0733023641440231,NA,0.0220337740288537,NA,NA
"0710001E13Rik",NA,NA,NA,0.0286018724124288,NA
"0710005M24Rik",NA,NA,NA,0.0656442185390167,NA
"0710007A14Rik",NA,NA,NA,0.0883906578142238,NA
"0710007C18Rik",NA,NA,0.0142696832934243,NA,NA
"0710007G10Rik",0.0722837362631472,NA,0.0197099110939242,NA,NA
"0710007J16Rik",NA,NA,0.0198714783077956,NA,NA
"0710008K08Rik",NA,NA,NA,0.126459120426401,NA
"0910001A06Rik",NA,NA,0.0255406908618813,0.0631865381292646,NA
"0910001K20Rik",NA,NA,NA,0.054183930403591,NA
"0910001L09Rik",NA,NA,0.0161674473331609,0.0765828534236465,0.0347332163978364
"0910001L17Rik",NA,NA,0.0134976089317992,NA,NA
"100041294",NA,NA,0.0216789346207808,NA,NA
"100043387",NA,NA,NA,NA,0.0305188605487069
"1010001B22Rik",0.0669133484595491,NA,NA,NA,0.0316566423980254
"1010001D01Rik",NA,NA,0.0230743820896719,0.0581779476136079,NA
"1010001I08Rik",0.0549198187253259,NA,0.0140623495174164,NA,NA
"1010001N08Rik",NA,NA,0.0211215304883423,NA,0.0493214450990763
"10181072_290",NA,NA,0.0130828761041737,NA,NA
"1100001A21Rik",NA,NA,NA,0.0932608431851773,NA
"1100001D10Rik",NA,NA,NA,0.0915383382920398,NA
"1100001E04Rik",NA,NA,0.0143656385500223,0.0553609722445345,NA
"1100001F19Rik",NA,NA,0.0310350184197529,NA,NA
"1100001G20Rik",NA,NA,0.0387867893320714,0.127688900839808,0.0573404783284158
"1100001H23Rik",NA,NA,0.0211014689470724,0.0648026873542537,NA
"1100001I19Rik",NA,NA,0.0154785598720874,0.0624147227647842,NA
"1100001I22Rik",NA,NA,NA,0.10929974993536,NA
"1100001J08Rik",NA,NA,0.0166377775263001,NA,NA
"1100001L02Rik",NA,NA,0.015368189594196,NA,NA
"1110001A05Rik",NA,NA,NA,0.114697025235611,NA
"1110001A07Rik",NA,NA,0.0147922524126514,0.0583144835041739,NA
"1110001A12Rik",NA,NA,NA,0.128659344286198,NA
"1110001A23Rik",NA,NA,NA,0.133273120691158,NA
"1110001C20Rik",NA,NA,0.0216851721658881,0.108252218660554,NA
"1110001C23Rik",NA,NA,0.0229984161970211,NA,NA
"1110001D15Rik",NA,NA,0.0102654812900058,NA,NA
"1110001E17Rik",NA,NA,NA,0.148882098153066,NA
"1110001J03Rik",0.124781163861666,0.0305323865525036,0.0270667476170812,0.145299089313068,0.0477562971125755
"1110001K21Rik",NA,NA,NA,0.104708822562141,NA
"1110001N06Rik",NA,NA,0.0193087554531454,NA,NA
"1110001P04Rik",NA,NA,0.0220704506807426,NA,NA
"1110002B05Rik",NA,NA,0.0297835336376799,0.197474668967632,0.0275640122180736
"1110002D22Rik",NA,NA,0.0178377049713114,NA,NA
"1110002E22Rik",0.157105962858151,NA,0.0302599986911797,NA,0.0810530311552961
"1110002E23Rik",NA,NA,0.0306405138942556,0.0953214370671159,NA
"1110002H13Rik",NA,NA,0.0101196932432159,0.0455812235033405,NA
"1110002J07Rik",NA,NA,NA,NA,0.0350251558405539
"1110002L01Rik",0.0650533879431572,0.0320747378484983,0.00997105518324028,NA,0.0186095788512786
"1110002N22Rik",NA,NA,0.0247789959492994,0.149104937333895,0.0530307169485347
"1110003A17Rik",NA,NA,NA,0.0840687549353357,NA
"1110003E01Rik",NA,NA,0.0169678011708818,0.0750089456096649,0.0239018456891917
"1110003E08Rik",NA,NA,0.0174310277899273,NA,NA
"1110003F02Rik",0.0496031918616088,NA,NA,NA,NA
"1110003F05Rik",NA,NA,0.0394783523909352,NA,NA
"1110003O08Rik",NA,NA,0.0549543311695983,NA,NA
"1110003P22Rik",NA,NA,0.0204071808020464,NA,NA
"1110004B13Rik",NA,NA,NA,0.0778796590952653,NA
"1110004B15Rik",NA,NA,NA,0.197971164665844,NA
"1110004E09Rik",0.0539100581211338,0.0212267422233016,0.0143944677428039,0.0596536223667486,0.0274887529024643
"1110004F10Rik",0.0454074479429379,0.0164170482410217,0.0134932220423625,0.0754766215154447,0.0113029971293338
"1110004M10Rik",0.0751691890657841,NA,NA,NA,NA
"1110004P21Rik",NA,NA,0.0303297878644689,NA,NA
"1110005A03Rik",NA,NA,0.0147280220622292,0.0640891753948218,0.0296754143864237
"1110005A23Rik",NA,NA,0.0213338729262613,0.0877392384879766,NA
"1110005F07Rik",NA,NA,0.0191342535436188,NA,NA
"1110006E14Rik",0.108154818584019,NA,0.0159254722214215,NA,NA
"1110006G06Rik",NA,NA,0.0217679024236503,0.070490921942925,NA
"1110006G14Rik",NA,NA,0.0325061677970795,NA,NA
"1110006I15Rik",NA,NA,NA,0.102628419905919,NA
"1110006O17Rik",NA,NA,0.0117496128163109,NA,NA
"1110006O24Rik",0.064849423019692,0.0246904067458479,NA,NA,0.0383482628797039
"1110007A06Rik",NA,NA,NA,0.0599151138946226,NA
"1110007A13Rik",NA,NA,0.0234188370677192,0.0953480962772504,NA
"1110007B02Rik",NA,NA,0.0116657492679771,NA,NA
"1110007C02Rik",NA,NA,NA,0.114768195215815,NA
"1110007C05Rik",NA,NA,NA,0.157252581209488,NA
"1110007C09Rik",0.119618584942369,0.0139306607729986,0.0188693615494715,0.0675997138559722,0.0165454905647434
"1110007C24Rik",NA,NA,NA,0.0856893922777356,NA
"1110007F05Rik",NA,NA,0.0162036171314496,0.0936294786986332,NA
"1110007F12Rik",NA,NA,NA,0.0708091094728818,NA
"1110007H17Rik",NA,NA,0.0160442014330678,0.0299205575210768,NA
"1110007L15Rik",NA,NA,0.016422771560862,0.0797730174081424,NA
"1110007M04Rik",NA,NA,0.0291520748408758,0.0969773973860433,NA
"1110008B24Rik",NA,NA,0.0176410458531342,NA,NA
"1110008E08Rik",0.0589557284270952,0.0246563380558939,NA,NA,NA
"1110008F13Rik",0.0715016040518134,0.0177019527977866,0.0224082804673345,0.134964078576546,0.0175904475488881
"1110008J03Rik",NA,NA,0.0207960162577896,0.0618339229392394,0.0244300455512575
"1110008K04Rik",NA,NA,NA,0.0500306597312376,NA
"1110008L16Rik",0.086746798641026,0.0202100484015074,0.0172430241343885,NA,0.026432536621333
"1110008P14Rik",0.147976085452609,0.033784896215477,0.0379763976477177,0.195873855713912,0.0413834880539741
"1110011C06Rik",NA,NA,0.028148018744629,NA,NA
"1110011D13Rik",NA,NA,NA,0.266811964591888,NA
"1110011K10Rik",NA,NA,NA,0.123809485501159,NA
"1110012D08Rik",NA,NA,0.0182402040521392,0.111013188011365,NA
"1110012E06Rik",NA,NA,NA,0.133756102359844,NA
"1110012F10Rik",NA,NA,0.0289860666398708,NA,NA
"1110012J17Rik",NA,NA,0.0203120182037563,0.162819498526988,0.0260570081777389
"1110012L19Rik",0.104220058595523,0.0317148521117657,0.0156001641511301,0.0679078566980199,0.0236008131143315
"1110012M11Rik",NA,NA,NA,0.163126918063509,NA
"1110012N22Rik",NA,NA,0.0485106619864501,NA,NA
"1110012O05Rik",NA,NA,0.0228823568659265,NA,NA
"1110013L07Rik",NA,NA,0.0270797072667036,0.0964663237170303,NA
"1110014C03Rik",NA,NA,0.0131898817754387,NA,NA
"1110014D18Rik",NA,NA,NA,0.112969727450145,NA
"1110014J01Rik",NA,NA,NA,0.0771800947792809,NA
"1110014J17Rik",NA,NA,0.0257653276813876,NA,NA
"1110014K05Rik",NA,NA,NA,0.0563337096253545,NA
"1110014L15Rik",0.092316548412229,NA,NA,NA,NA
"1110014L17Rik",NA,NA,NA,0.159462283472001,NA
"1110014N23Rik",NA,NA,0.0196587291814225,NA,0.01988514268565
"1110014O20Rik",NA,NA,0.0433085876354674,NA,NA
"1110014P06Rik",NA,NA,NA,0.0405144477453731,NA
"1110015C02Rik",NA,NA,0.0152391607932573,NA,NA
"1110015K06Rik",NA,NA,NA,0.119633039028093,NA
"1110015M06Rik",NA,NA,0.0112447134958049,NA,NA
"1110015O18Rik",0.061953255326598,NA,NA,NA,0.0410712763397215
"1110017D15Rik",0.0795533441832992,0.0199452723779545,0.0664343206121039,0.197728160845995,0.027123293379912
"1110017F19Rik",NA,NA,0.0202398932772177,NA,0.0481816413544433
"1110017I16Rik",NA,NA,0.0130848564368115,0.0502689386780626,NA
"1110017O22Rik",NA,NA,NA,0.108382573711279,NA
"1110018F16Rik",0.0694946875090091,NA,NA,NA,NA
"1110018G07Rik",NA,NA,0.0246173239373949,0.119357448951599,0.0190245172341702
"1110018H23Rik",NA,NA,0.0152249653632651,NA,NA
"1110018J12Rik",NA,NA,NA,0.0421697418823011,NA
"1110018J18Rik",NA,NA,0.020426664420697,0.118768147228049,0.0188734122381608
"1110018J23Rik",NA,NA,0.0381738821957922,NA,NA
"1110018M03Rik",NA,NA,0.0148611001793837,0.0530883159364424,NA
"1110018N20Rik",0.134765525836093,NA,0.0415360995231899,NA,NA
"1110019B22Rik",0.084169590248085,NA,0.0135354853768712,NA,NA
"1110019C08Rik",NA,NA,NA,0.0894205832680504,NA
"1110019D14Rik",0.12811647511803,NA,NA,NA,0.0521958091208432
"1110019K23Rik",NA,NA,0.0158720683515474,0.0363373028083811,NA
"1110019L22Rik",NA,NA,NA,0.133472768002395,NA
"1110019N10Rik",NA,NA,0.0211658745371504,0.0959206225456113,NA
"1110020A09Rik",NA,NA,NA,0.114436629647663,NA
"1110020A21Rik",0.0797810980117657,NA,0.0141628614369626,NA,0.0284953584737138
"1110020C03Rik",NA,NA,0.0281776251603626,0.0695803370451071,NA
"1110020C13Rik",NA,NA,NA,0.108074741155068,NA
"1110020C17Rik",0.0712203736487535,0.0360471166877291,0.0204385508769686,NA,0.0401587672998872
"1110020G09Rik",NA,NA,0.0114067174176183,0.0449027601170578,NA
"1110020L19Rik",NA,NA,NA,0.0661243558000164,NA
"1110020M19Rik",NA,NA,NA,0.0922695108385208,NA
"1110020N13Rik",NA,NA,0.0365439072267156,NA,NA
"1110020P15Rik",NA,NA,0.0128763854337948,0.0717947025625646,NA
"1110021H02Rik",NA,NA,NA,0.0866703673290932,NA
"1110021J02Rik",NA,NA,0.0341845935059063,NA,0.0176815430528187
"1110021L09Rik",NA,NA,0.0414729103732178,NA,0.0477130353520785
"1110021N19Rik",NA,NA,NA,0.0562033056382033,NA
"1110021P09Rik",NA,NA,0.014737946552866,NA,NA
"1110025F24Rik",NA,NA,NA,0.124699493002454,NA
"1110025G12Rik",NA,NA,NA,0.154347944187345,NA
"1110025H03Rik",NA,NA,0.0130933232113483,NA,NA
"1110025I09Rik",NA,NA,NA,0.0675293769364828,NA
"1110025L11Rik",0.0740358068790188,NA,0.0104014232402419,NA,0.0363811286456129
"1110027O12Rik",NA,NA,0.014191088441308,NA,NA
"1110028A07Rik",NA,NA,0.0218095416127062,0.077903251533216,NA
"1110028C15Rik",NA,NA,0.0127257837217857,NA,NA
"1110028E10Rik",NA,NA,NA,0.0644541992026289,NA
"1110028F11Rik",0.0525342128949862,NA,0.0152330215913307,NA,0.0589567351161434
"1110028F18Rik",0.0733946754639457,NA,NA,NA,0.0458588411639999
"1110028N05Rik",NA,NA,NA,0.11702192132941,NA
"1110029E03Rik",NA,NA,NA,0.0469462041305173,NA
"1110029I05Rik",NA,NA,0.0240114962749793,NA,NA
"1110029L17Rik",NA,NA,0.0173388309001377,NA,NA
"1110030H02Rik",NA,NA,NA,0.0652030988815369,NA
"1110030H18Rik",NA,NA,NA,0.0677197989304892,NA
"1110030J09Rik",NA,NA,NA,0.0960215400515993,NA
"1110030K22Rik",NA,NA,NA,0.0811530654212637,NA
"1110030L07Rik",NA,NA,NA,0.0471134755611289,NA
"1110031B06Rik",NA,NA,0.0268980102043775,0.101914139951642,NA
"1110031B11Rik",NA,NA,0.0143297892058427,0.0434755034703987,NA
"1110031I01Rik",NA,NA,0.0269376516559766,NA,NA
"1110031I02Rik",NA,NA,0.0279725925811487,0.105294741182128,0.0252769659823504
"1110032A03Rik",0.135485737633733,0.0205478044884369,0.0151095938817739,0.072204953577944,0.0302417046359985
"1110032A04Rik",NA,NA,0.0157089356397984,NA,0.03899782243305
"1110032A13Rik",NA,NA,0.0150963425832495,0.123254277456182,NA
"1110032D12Rik",NA,NA,NA,0.154540456266845,NA
"1110032D16Rik",NA,NA,0.0141928319854491,NA,NA
"1110032E23Rik",NA,NA,0.0195830911673362,0.189923018638268,NA
"1110032F04Rik",0.0736457002222116,0.02873430018492,0.0129073510985172,NA,0.0290630343645441
"1110032N12Rik",NA,NA,NA,0.114097273783195,NA
"1110033C18Rik",NA,NA,0.0170440057936739,NA,NA
"1110033F04Rik",NA,NA,0.0161455631820958,0.0487073485530169,NA
"1110033I14Rik",NA,NA,NA,0.173593567352485,NA
"1110033J19Rik",NA,NA,NA,0.142276201015079,NA
"1110033K02Rik",NA,NA,0.0154625062658445,NA,NA
"1110033L15Rik",NA,NA,0.0159885011636972,NA,NA
"1110033M05Rik",NA,NA,0.0115042183057862,NA,NA
"1110033O09Rik",NA,NA,0.0114971062841668,0.0594108496833579,NA
"1110034A24Rik",NA,NA,0.0208540031167883,0.0600825983414627,0.0194798328062452
"1110034B05Rik",NA,NA,0.0144704777326547,0.0413620151827317,0.0293258738089811
"1110034G24Rik",0.0505674059414594,0.0172081532492024,0.0227498378297806,NA,0.0177916803034128
"1110034O24Rik",NA,NA,0.0235806607071405,NA,NA
"1110035E04Rik",0.0790724998806551,NA,NA,NA,NA
"1110035H17Rik",0.0664984407104399,0.0274117654924733,0.0156442928849207,NA,NA
"1110035L05Rik",NA,NA,NA,0.11787036868256,NA
"1110035M17Rik",NA,NA,NA,NA,0.0352749630574516
"1110036D12Rik",NA,NA,0.04976161180494,NA,NA
