"X","medianGPL1261","medianGPL6246","medianGPL6887","medianGPL6885","medianGPL16570"
"0610038F07Rik",NA,NA,0.0196977357272083,0.0999961256916762,NA
"0610038F15Rik",NA,NA,0.0395885697788379,NA,NA
"0610038K03Rik",NA,NA,NA,0.094230535570851,NA
"0610038L08Rik",NA,NA,NA,NA,0.01859587502291
"0610039D01Rik",NA,NA,NA,0.0894771260667667,NA
"0610039J04Rik",NA,NA,NA,0.0646118029121518,NA
"0610039K10Rik",0.0359849064057432,0.0220020106866484,0.0130366072951303,NA,0.0251579423550516
"0610039N19Rik",NA,NA,NA,0.204458962827979,NA
"0610039P13Rik",NA,NA,NA,0.112027074470879,NA
"0610040A22Rik",0.0825234187807905,NA,NA,NA,NA
"0610040B10Rik",0.0926940240209464,0.0297282207075699,0.0348724948476047,NA,0.0394431145346279
"0610040B21Rik",NA,NA,NA,0.157972843133089,NA
"0610040D20Rik",NA,NA,NA,0.0571826813291115,NA
"0610040F04Rik",0.067574734388628,NA,NA,NA,0.0308222598706008
"0610040J01Rik",0.0601380026301135,0.0259823544083853,0.0202130480208815,0.0644137358650167,0.0341852908273044
"0610040O15Rik",NA,NA,0.0126494777828573,NA,NA
"0610041B22Rik",NA,NA,NA,0.107204168064633,NA
"0610041E09Rik",NA,NA,0.0127739288823669,0.0899495426258423,NA
"0610041G09Rik",NA,NA,NA,0.166962354883405,NA
"0610042C05Rik",NA,NA,0.0222757021011371,NA,NA
"0610042E07Rik",NA,NA,NA,0.0950342770254193,NA
"0610042E11Rik",0.046912734902018,NA,NA,NA,NA
"0610043K17Rik",NA,NA,NA,NA,0.0358696963123462
"0710001A04Rik",0.0482384124601238,NA,NA,NA,NA
"0710001B24Rik",NA,NA,NA,0.146621069615775,NA
"0710001C05Rik",NA,NA,0.0219967182720212,NA,NA
"0710001D07Rik",0.0870128226731846,NA,0.0299921479461498,NA,NA
"0710001E13Rik",NA,NA,NA,0.0241179467947524,NA
"0710005M24Rik",NA,NA,NA,0.0501760278220778,NA
"0710007A14Rik",NA,NA,NA,0.0852226980548485,NA
"0710007C18Rik",NA,NA,0.0179150697244354,NA,NA
"0710007G10Rik",0.0787712113801594,NA,0.015886124607377,NA,NA
"0710007J16Rik",NA,NA,0.0165348965791947,NA,NA
"0710008K08Rik",NA,NA,NA,0.0927732181673721,NA
"0910001A06Rik",NA,NA,0.0262591895408811,0.0596377975211396,NA
"0910001K20Rik",NA,NA,NA,0.0449611571111749,NA
"0910001L09Rik",NA,NA,0.0137517441141001,0.0595501797994876,0.0332128654780144
"0910001L17Rik",NA,NA,0.0148569655740482,NA,NA
"100041294",NA,NA,0.0167926045032779,NA,NA
"100043387",NA,NA,NA,NA,0.0251062897175516
"1010001B22Rik",0.0471368745853745,NA,NA,NA,0.0229290682824534
"1010001D01Rik",NA,NA,0.0227047328587706,0.0531473935082146,NA
"1010001I08Rik",0.0534738244200469,NA,0.016856272937151,NA,NA
"1010001N08Rik",NA,NA,0.0169169912136982,NA,0.0356472563366556
"10181072_290",NA,NA,0.0130175492385266,NA,NA
"1100001A21Rik",NA,NA,NA,0.0979252404144298,NA
"1100001D10Rik",NA,NA,NA,0.0801723120755282,NA
"1100001E04Rik",NA,NA,0.014027546701873,0.0431871022257754,NA
"1100001F19Rik",NA,NA,0.0241128814064522,NA,NA
"1100001G20Rik",NA,NA,0.0296182309996204,0.114857981011213,0.0573315892585418
"1100001H23Rik",NA,NA,0.0240576172928411,0.0581029196907333,NA
"1100001I19Rik",NA,NA,0.0141769441163169,0.0500148355401698,NA
"1100001I22Rik",NA,NA,NA,0.0894743369922786,NA
"1100001J08Rik",NA,NA,0.0161598823249242,NA,NA
"1100001L02Rik",NA,NA,0.0156702460293761,NA,NA
"1110001A05Rik",NA,NA,NA,0.0803550400352065,NA
"1110001A07Rik",NA,NA,0.0154108225535224,0.0484010811780365,NA
"1110001A12Rik",NA,NA,NA,0.114228027169371,NA
"1110001A23Rik",NA,NA,NA,0.0784229570806199,NA
"1110001C20Rik",NA,NA,0.0208902166733599,0.0803170153368472,NA
"1110001C23Rik",NA,NA,0.0234506215526626,NA,NA
"1110001D15Rik",NA,NA,0.00928620572430134,NA,NA
"1110001E17Rik",NA,NA,NA,0.0958769547312944,NA
"1110001J03Rik",0.103983365304638,0.033591943001345,0.0251884303647361,0.172686809381093,0.0333159175627178
"1110001K21Rik",NA,NA,NA,0.104565629174658,NA
"1110001N06Rik",NA,NA,0.0162420223929683,NA,NA
"1110001P04Rik",NA,NA,0.0155274392644528,NA,NA
"1110002B05Rik",NA,NA,0.0337515709220778,0.159619523303705,0.0278658934598484
"1110002D22Rik",NA,NA,0.012998960720084,NA,NA
"1110002E22Rik",0.143542524494573,NA,0.0269132931503975,NA,0.0751718213058419
"1110002E23Rik",NA,NA,0.0164520154433167,0.103313574782027,NA
"1110002H13Rik",NA,NA,0.00987867726770069,0.04221927323229,NA
"1110002J07Rik",NA,NA,NA,NA,0.0377658849425931
"1110002L01Rik",0.0630594486333888,0.0265738441218956,0.00934760390669969,NA,0.0199072468260654
"1110002N22Rik",NA,NA,0.03025473960819,0.0969183386804049,0.0471316600982305
"1110003A17Rik",NA,NA,NA,0.0812110877656319,NA
"1110003E01Rik",NA,NA,0.0141952519939325,0.0728256905331068,0.0224946285394867
"1110003E08Rik",NA,NA,0.0170362200364488,NA,NA
"1110003F02Rik",0.0507203988127829,NA,NA,NA,NA
"1110003F05Rik",NA,NA,0.0352299689520068,NA,NA
"1110003O08Rik",NA,NA,0.0520305076996224,NA,NA
"1110003P22Rik",NA,NA,0.0169355208064765,NA,NA
"1110004B13Rik",NA,NA,NA,0.0697031184876283,NA
"1110004B15Rik",NA,NA,NA,0.0690803962412042,NA
"1110004E09Rik",0.061385269946087,0.0203360520102559,0.0134621129371355,0.0452696940170221,0.0141010575793185
"1110004F10Rik",0.0445637941904719,0.0150212911703599,0.0123879734894576,0.0711643868104708,0.0104639844256975
"1110004M10Rik",0.0635702260468527,NA,NA,NA,NA
"1110004P21Rik",NA,NA,0.0237175275412624,NA,NA
"1110005A03Rik",NA,NA,0.0167005610460883,0.0561139265413306,0.0361640567403662
"1110005A23Rik",NA,NA,0.0182400943838336,0.0861185394173554,NA
"1110005F07Rik",NA,NA,0.0155191212828508,NA,NA
"1110006E14Rik",0.0989693893206657,NA,0.0137014053691306,NA,NA
"1110006G06Rik",NA,NA,0.0198336604310608,0.0750873167491268,NA
"1110006G14Rik",NA,NA,0.0216134542997666,NA,NA
"1110006I15Rik",NA,NA,NA,0.0891716888150054,NA
"1110006O17Rik",NA,NA,0.0124068736901379,NA,NA
"1110006O24Rik",0.0468676335903478,0.019323818013882,NA,NA,0.0315159574468085
"1110007A06Rik",NA,NA,NA,0.0564645645630897,NA
"1110007A13Rik",NA,NA,0.0264785794388806,0.0864408772876564,NA
"1110007B02Rik",NA,NA,0.0114484783829671,NA,NA
"1110007C02Rik",NA,NA,NA,0.0739187572935312,NA
"1110007C05Rik",NA,NA,NA,0.0972135308423858,NA
"1110007C09Rik",0.120804995601736,0.0115836742975031,0.0169340810152881,0.0660254927181897,0.0142822966507177
"1110007C24Rik",NA,NA,NA,0.0666984988944204,NA
"1110007F05Rik",NA,NA,0.0155268732745238,0.0959887045475019,NA
"1110007F12Rik",NA,NA,NA,0.0702078603626881,NA
"1110007H17Rik",NA,NA,0.0167933513003793,0.0351746248926061,NA
"1110007L15Rik",NA,NA,0.0143385769817607,0.0752289004304406,NA
"1110007M04Rik",NA,NA,0.0244989050431623,0.0971276926457615,NA
"1110008B24Rik",NA,NA,0.0173197049663095,NA,NA
"1110008E08Rik",0.0520704979295019,0.0186607319610877,NA,NA,NA
"1110008F13Rik",0.0814456781864252,0.0130484247768099,0.0209949644631605,0.124670181515984,0.0206291495415744
"1110008J03Rik",NA,NA,0.0210738094053647,0.047814484250024,0.0224929709465792
"1110008K04Rik",NA,NA,NA,0.0668797959847449,NA
"1110008L16Rik",0.0561510377565847,0.0213081130916047,0.0195121921913399,NA,0.0309624819826196
"1110008P14Rik",0.139151548227823,0.0324140952318175,0.0375424526684782,0.171526465467984,0.0392337162631798
"1110011C06Rik",NA,NA,0.0288753767026981,NA,NA
"1110011D13Rik",NA,NA,NA,0.0885365203993744,NA
"1110011K10Rik",NA,NA,NA,0.119155450427032,NA
"1110012D08Rik",NA,NA,0.0155109904618964,0.0815795563456417,NA
"1110012E06Rik",NA,NA,NA,0.114331818157155,NA
"1110012F10Rik",NA,NA,0.0241612444346137,NA,NA
"1110012J17Rik",NA,NA,0.0187067941494907,0.0829456250214999,0.0237907750931704
"1110012L19Rik",0.0861634726385625,0.028851738176129,0.0142887806122236,0.0616868003310889,0.0238337037951432
"1110012M11Rik",NA,NA,NA,0.155731980274528,NA
"1110012N22Rik",NA,NA,0.0434190631057923,NA,NA
"1110012O05Rik",NA,NA,0.0156685123032432,NA,NA
"1110013L07Rik",NA,NA,0.0182196483646472,0.0631239906770539,NA
"1110014C03Rik",NA,NA,0.0140292580383854,NA,NA
"1110014D18Rik",NA,NA,NA,0.0634424082155949,NA
"1110014J01Rik",NA,NA,NA,0.0609593268301592,NA
"1110014J17Rik",NA,NA,0.0226385549689778,NA,NA
"1110014K05Rik",NA,NA,NA,0.0518342293412168,NA
"1110014L15Rik",0.0809742439102738,NA,NA,NA,NA
"1110014L17Rik",NA,NA,NA,0.0747230458631628,NA
"1110014N23Rik",NA,NA,0.019638527999083,NA,0.0167508055290255
"1110014O20Rik",NA,NA,0.0333824783798499,NA,NA
"1110014P06Rik",NA,NA,NA,0.0323469444963113,NA
"1110015C02Rik",NA,NA,0.0167955332086834,NA,NA
"1110015K06Rik",NA,NA,NA,0.0996101652868384,NA
"1110015M06Rik",NA,NA,0.0119406021027083,NA,NA
"1110015O18Rik",0.0518520040065605,NA,NA,NA,0.0374274363452338
"1110017D15Rik",0.0677588356788093,0.0191079359915524,0.0163527673470293,0.0969385048031696,0.0267800828794079
