"","X","ranking","median","mean","sd"
"1","Ppia",5,0.0263520891443828,0.0585571173252377,0.0608193116407741
"2","Ubc",83,0.0434819537951517,0.115551108783033,0.142751875736514
"3","Rpl19",2756,0.0719569954300545,0.0863336586739806,0.0862840920417646
"4","Hprt",7977,0.0934924111838254,0.141443828931388,0.147167093389762
"5","Gapdh",10502,0.104020449818854,0.159078253021451,0.231884332566437
"6","Rn18s",19862,0.190058637082665,0.336346715749907,0.386316473150017
