"","X","ranking","median","mean","sd"
"1","UBC",116,0.015576301923449,0.0323375486467239,0.0364497903132817
"2","RPL19",777,0.0246449263544772,0.0516698820786779,0.060641720927821
"3","PPIA",802,0.0248854749290802,0.0756837114603038,0.110454020181474
"4","GAPDH",2099,0.0336071647839902,0.137500306359923,0.21923938786719
"5","HPRT1",15922,0.0994278994164781,0.136619832290945,0.146056139301911
