"","ranking","median","mean","sd"
"RNA5SP299",1,0.00731818186623505,0.147101458543412,0.284466730824915
"ZNF229",2,0.00797939599464938,0.0587075366230039,0.101766007886802
"OR6C70",3,0.00875428054338473,0.130023693857104,0.243928824694388
"RNU6-69P",4,0.0088760619290607,0.31240951259614,0.609551366262061
"RPL38",5,0.00897863247572444,0.0203970419550325,0.0273833329409263
"COX1",6,0.00911195107194947,0.0232799507925005,0.0332339281908116
"UNC45A",7,0.00917674996409995,0.0161087706933966,0.0189428874848058
"ANXA2",8,0.00923518362064264,0.0582412700371,0.102710196863044
"RNU6-275P",9,0.00945731580456799,0.299967391858584,0.587356708576574
"RAD18",10,0.009664103706634,0.0320753763760393,0.0474996913633042
"IL22RA2",11,0.0098570425346266,0.097510510654733,0.180707010193165
"DBNDD2",12,0.0101484409215271,0.0246399986856718,0.0345809311937332
"RN7SKP128",13,0.0102002295932171,0.0436714685442641,0.0687108753452967
"ACTB",14,0.0102360080061575,0.0147356016919576,0.0153130272927284
"TFPT",15,0.0102564855306807,0.0148223216948351,0.0151255838633503
"WDR96",16,0.0102694890422199,0.115439174575606,0.217264713406192
"EEF1DP3",17,0.0102785865981128,0.0140969973736226,0.0101468287694364
"RNU6ATAC34P",18,0.0105147463311566,0.109492536741604,0.201037313318553
"SLC28A3",19,0.010632887378575,0.0353227026521832,0.0529676035507114
"CTNNBIP1",20,0.0106340143405821,0.0111132559842736,0.00564205326235922
"HMX1",21,0.0106398771960821,0.0229167310002369,0.0271427543806259
"EEF1A1",22,0.0106679559100563,0.0151916906597919,0.0146536597318331
"RNF175",23,0.0107945238797589,0.0134189304009786,0.00897659391795573
"EIF1",24,0.0109633495567452,0.0176417291715998,0.0148077030072191
"RPS25",25,0.0109689504735827,0.0264236513606272,0.0319511701367286
"DAD1",26,0.0111978881409067,0.0125842250757369,0.00348071436326546
"CTNNBL1",27,0.0112530705646253,0.0495427545255106,0.0810045836925993
"ALKBH3",28,0.0113335553918589,0.0210535930930197,0.0234085152938189
"RNU6-383P",29,0.0113990940252927,0.189153829262084,0.358102198009005
"RPL30",30,0.0114524655917397,0.0282652013541986,0.0408693072662003
"HHAT",31,0.0115569402631637,0.0368649479756324,0.0563190110854477
"SLC30A8",32,0.011557862270939,0.0320050848111382,0.0424827985506174
"RPL27",33,0.0115686973755321,0.0141969981572928,0.0116092592177859
"MIR4485",34,0.0115704933666538,0.0336969049350093,0.0513054512578781
"TTC6",35,0.0115981580527769,0.0290483850626094,0.0358347840932252
"RNU5F-7P",36,0.0116496040381113,0.443908219221853,0.872309148346206
"ST8SIA1",37,0.011762659460096,0.0140932401261887,0.00611446614387121
"BNIP1",38,0.0117638287493784,0.0199176219763414,0.0205620687552284
"PWWP2A",39,0.0119169276066397,0.0261444653789588,0.0324278424055333
"LINC00529",40,0.0119967352844162,0.0812050215424773,0.141912603273426
"SGSM2",41,0.0120064554611776,0.0575645675760988,0.0920222294002388
"ZBED1",42,0.0120113896573072,0.0290679131176173,0.0421723963353182
"RNU6-597P",43,0.0120772801925908,0.21562546058214,0.41014116645763
"CRKL",44,0.0121424395946557,0.0459820076166558,0.0680035913157172
"MANBAL",45,0.012169842102745,0.0446636769879428,0.0653986434471855
"DUS2",46,0.0122353145576248,0.0823230851522492,0.142605984531072
"RN7SKP9",47,0.0122744547871552,0.0119750470728147,0.00683113833200662
"RNU6-963P",48,0.0123051787442518,0.291129022634311,0.560382876579355
"EPS15P1",49,0.0123414991864501,0.0231275770794356,0.0234168317199251
"KATNB1",50,0.0123588766418659,0.0434318056184903,0.0679459799699108
"ZKSCAN5",51,0.0124200196421636,0.0361589749473866,0.0538424964554534
"POTEE",52,0.0124958719972651,0.02121927271009,0.0245630019475567
"ATPAF2",53,0.0125187933281904,0.0522731212582541,0.0842669192557608
"NXPH3",54,0.0125190558234118,0.0255876963310276,0.0340489534523648
"SNIP1",55,0.0125407976369193,0.0701609462966507,0.117864539341454
"RPL28",56,0.0125446522952916,0.0225935857965976,0.0260682246160873
"ANKRD19P",57,0.0125446976563594,0.0957607509505498,0.171314169139354
"RPS18",58,0.0125645623120557,0.0364010908815042,0.0511074976341639
"PSENEN",59,0.0126124544673837,0.0214345208044897,0.0198780474903864
"PBXIP1",60,0.0126222407214243,0.0179123382363718,0.0135782467771582
"C2orf68",61,0.0126505911458619,0.0510371017857159,0.0824143842640117
"NPY6R",62,0.0127556312034895,0.0516381980870751,0.0798251678126706
"RNU2-25P",63,0.0128663163353751,0.10665936134353,0.189616885495099
"RNU6-311P",64,0.0129019820182073,0.0555781126703419,0.0903691968874462
"PELI3",65,0.0129481857447654,0.0805999275757137,0.13981584391434
"RPS18P9",66,0.0129596209239307,0.0710854925147612,0.121661329513223
"ASB17",67,0.0130776700042648,0.120998069837015,0.218807571306219
"RNU6-1130P",68,0.0131600496582668,0.193574606367034,0.365041178337307
"CYTB",69,0.0131652509161365,0.0190591366386891,0.0194708883106359
"SRSF8",70,0.0131730023551384,0.0598547870906902,0.0986375809214882
"GIPR",71,0.013187959709464,0.0687840706670828,0.113951755982913
"OR10AD1",72,0.0132537680595619,0.107769599022745,0.194535980262089
"MIR376C",73,0.0132914503040799,0.210699541679683,0.396676874114168
"HBCBP",74,0.0133102876527739,0.0301163978828711,0.0395834122578112
"YBX1",75,0.0133289948535801,0.0265308068526765,0.0328489633935586
"ITM2B",76,0.0133379243970396,0.0465391100545524,0.0705643785988174
"MTMR11",77,0.0133460404542437,0.0543704898110615,0.0896284868476992
"EIF1AD",78,0.0133741485928463,0.0515161056457161,0.0794833784823708
"RNU6-370P",79,0.0133752278448546,0.200292860023921,0.377780605118156
"SRRM1",80,0.0134078129331795,0.06689885455111,0.110287315614776
"ZNF550",81,0.0134117268741838,0.104146042992574,0.185362467121101
"C16orf72",82,0.0134351303793903,0.0379474869249593,0.0528753603855723
"SPACA1",83,0.0134430984734747,0.0302560021138637,0.0398180775104771
"SRSF2",84,0.0134449592740138,0.0380563045968642,0.0544212357472961
"TMPPE",85,0.0135213579407064,0.0388605782937773,0.0561893548324969
"UCK2",86,0.0135754435493186,0.0649517277576701,0.107111875828292
"RNU4-50P",87,0.0135837888610796,0.0243159291576831,0.0261478883441344
"PWP2",88,0.0135933969870119,0.0299683845775686,0.0400094543274542
"CCDC97",89,0.0136302324504199,0.0169274081806486,0.013489846501168
"TRIM52",90,0.0136967793667714,0.0430932353564801,0.0617564060490271
"TRPC7",91,0.0137131965531523,0.0792851724616533,0.135520499091529
"RPL37A",92,0.013723388936715,0.0351697185561109,0.0497497657597063
"FOXC1",93,0.0137240717122172,0.0297792924679176,0.0359643379885751
"MROH7",94,0.0137274735604226,0.0352224040767689,0.0454549573198347
"SIX3",95,0.0137367208316336,0.0249801308888646,0.0310918664509394
"GATC",96,0.0137370659630864,0.0442859722899306,0.0649771984119928
"ZSCAN20",97,0.0137624938420427,0.0410218608764235,0.0617448139678015
"POTEKP",98,0.0137648323565675,0.0147789824722019,0.00718509424229976
"MORC1",99,0.0137860936268114,0.0468331227979092,0.0686863310020939
"TIPRL",100,0.0137871717905741,0.0221564485453262,0.0225674701224862
"CDC42BPG",101,0.0137979617757732,0.107937980637325,0.19042303958296
"RNA5SP275",102,0.0138296820146874,0.117891115426851,0.215277091211146
"BID",103,0.0138618809141055,0.0404277675133538,0.0574175387980184
"CWH43",104,0.0139478872146451,0.134599008767479,0.242226162891441
"GNAS",105,0.013952005953212,0.026754986450612,0.0340406394862916
"RN7SL416P",106,0.0139915175763867,0.170512031029089,0.317656143066576
"SIAH1",107,0.0139942313285715,0.0168748999727605,0.0131032133786053
"QTRT1",108,0.0139965659380919,0.0122221120509007,0.00804847884714676
"RNU6-185P",109,0.014016137661568,0.187816556749003,0.35273113129032
"MPST",110,0.0140534775083244,0.0398970292862585,0.0540052136373796
"TMEM183B",111,0.014058738763438,0.0327264532106422,0.0451680789323633
"ZSCAN32",112,0.0140592911329699,0.0817583380456244,0.14043558623316
"CYP2W1",113,0.0140828838104731,0.0188851214775325,0.0133368517568341
"NPRL2",114,0.0140929582684194,0.0558449205142331,0.0849022089069658
"GAPDH",115,0.0141128516629154,0.0140096426006393,0.00555786451949857
"RN7SKP61",116,0.0141211896828424,0.074623178804254,0.128883054162847
"RNU6-1146P",117,0.0141220827381714,0.0622925037314889,0.105772004327134
"CSNK1A1L",118,0.0141881736771311,0.0185130719834523,0.00976107625959383
"RN7SK",119,0.0141947914944535,0.0140317012792242,0.0108510226115792
"RNU6-268P",120,0.0142099735793121,0.0236002543284336,0.0204760466244808
