"","X","ranking","median","mean","sd"
"1","Ubc",11448,0.0763904132241222,0.0934500565055574,0.0897342317859323
"2","Ppia",12102,0.080563482868731,0.0729921576472488,0.0500349052597583
"3","Rpl19",13251,0.0895991194256567,0.109405818072821,0.0811478298266072
"4","Gapdh",14305,0.09938204266611,0.130612443182419,0.108615976359247
"5","Hprt",16680,0.138284602793538,0.271822899044462,0.374483988381776
