"","X","ranking","median","mean","sd"
"1","PPIA",47,0.0257255648603259,0.0944220805200639,0.122237299336732
"2","RPL19",57,0.0271860730459422,0.0742943668876316,0.090424216911091
"3","UBC",92,0.0301688745865367,0.0871376762045588,0.10634279051724
"4","GAPDH",1033,0.045692024600428,0.113997277385829,0.127418494813846
"5","HPRT1",6837,0.07775020266267,0.173951919987789,0.20261258343514
"6","RNA18S",7336,0.0801476433785817,0.318358773288836,0.404584298287127
