"","Gene","metaRanking","RP"
"199","LOC269527",199,355.8
"200","LOC383262",200,357.1
"201","LOC669365",201,358.5
"202","EG626571",202,360.2
"203","LOC381650",203,363.2
"204","LOC236035",204,364.3
"205","LOC385292",205,366.7
"206","A930103B21Rik",206,368.7
"207","LOC383601",207,370.6
"208","LOC214456",208,371.9
"209","D230004J03Rik",209,373.1
"210","3110030G19Rik",210,374.6
"211","LOC330581",211,376.2
"212","9330197B14Rik",212,377.4
"213","LOC669251",213,378.7
"214","A530017D12Rik",214,382.2
"215","A330004N04Rik",215,383.4
"216","9627521_3631_rc",216,384.7
"217","LOC382184",217,386.2
"218","D230050P06",218,387.4
"219","LOC632431",219,388.6
"220","6330404F12Rik",220,389.8
"221","LOC382708",221,392.2
"222","6430521C12Rik",222,393.6
"223","LOC102642233",223,395.5
"224","LOC100048050",224,396.9
"225","LOC638434",225,399.3
"226","LOC385785",226,400.6
"227","LOC406217",227,402
"228","EG635702",228,403.1
"229","LOC385205",229,404.4
"230","LOC331762",230,405.9
"231","LOC100045160",231,407.9
"232","LOC229837",232,409.4
"233","0610040O15Rik",233,410.6
"234","LOC381958",234,412
"235","C230059I24Rik",235,413.5
"236","LOC385469",236,414.8
"237","C130071N01Rik",237,416.8
"238","scl000168.1_25",238,418.1
"239","2610036E23Rik",239,419.9
"240","LOC665753",240,421.6
"241","LOC385977",241,423.1
"242","Tptf-pending",242,424.4
"243","LOC100047043",243,425.8
"244","B930007E16Rik",244,427.2
"245","LOC100044185",245,428.8
"246","E130001K05Rik",246,430.1
"247","C630007L23Rik",247,431.4
"248","Mscp-pending",248,433.9
"249","LOC100044008",249,435.2
"250","BC057170",250,436.5
"251","E430025L11Rik",251,437.7
"252","4833440M03Rik",252,438.8
"253","LOC381311",253,440
"254","LOC224098",254,441.2
"255","LOC384920",255,444.1
"256","1700041C02Rik",256,445.2
"257","LOC385258",257,446.6
"258","EG382639",258,448
"259","LOC676238",259,449.4
"260","6330540D07Rik",260,451
"261","LOC384028",261,452.7
"262","PLP-E",262,454.1
"263","6530437J22Rik",263,455.5
"264","LOC382547",264,456.9
"265","D330016H05Rik",265,458.6
"266","F730038L14Rik",266,460.4
"267","Gm6444",267,462.2
"268","A730023A08Rik",268,463.6
"269","B930053E03Rik",269,466.3
"270","LOC386346",270,468.8
"271","A630026F04",271,470.2
"272","LOC385669",272,471.8
"273","A730080H06Rik",273,473.2
"274","1700012M13Rik",274,475
"275","LOC634015",275,476.2
"276","D230050J18Rik",276,477.5
"277","LOC385014",277,479.1
"278","A930014I12Rik",278,480.2
"279","Csnd",279,482.5
"280","3110001K24Rik",280,486.3
"281","LOC213286",281,487.6
"282","LOC100048046",282,489
"283","LOC385646",283,490.2
"284","scl0001837.1_178",284,491.3
"285","LOC386413",285,492.9
"286","LOC640746",286,494.1
"287","C230040G06",287,495.6
"288","BC032266",288,498.1
"289","4921509A18Rik",289,499.2
"290","LOC382668",290,500.4
"291","LOC381984",291,501.6
"292","EG625029",292,502.9
"293","2310015A05Rik",293,504.2
"294","LOC382409",294,505.3
"295","E330032E20Rik",295,506.4
"296","LOC100048060",296,507.8
"297","Rps12-ps20",297,509
"298","LOC100046874",298,511.1
"299","Tbx13",299,512.4
"300","A930007L02Rik",300,513.5
"301","3110003L01Rik",301,515.6
"302","C030004L23Rik",302,516.7
"303","1810008N23Rik",303,518.6
"304","LOC380890",304,520
"305","LOC381963",305,521.5
"306","4921507K24Rik",306,522.6
"307","scl0003456.1_247",307,524
"308","LOC672200",308,525.6
"309","LOC213977",309,526.9
"310","D930026C10Rik",310,528.1
"311","A730096N15Rik",311,529.8
"312","E030034H13Rik",312,531.1
"313","C230090G04Rik",313,532.2
"314","EG224576",314,533.4
"315","LOC383428",315,535.2
"316","4921520D03Rik",316,537.6
"317","LOC380723",317,539.2
"318","EG215895",318,540.7
"319","C430017P18Rik",319,542
"320","5430409I15Rik",320,543.1
"321","Fth1",321,544
"322","LOC382422",322,544.4
"323","LOC381194",323,545.5
"324","LOC240066",324,546.7
"325","LOC279872",325,548.5
"326","D030005C18Rik",326,549.9
"327","C330048F19",327,551.4
"328","5730601F06Rik",328,552.7
"329","LOC209183",329,554.2
"330","LOC100046259",330,555.4
"331","D030049F17",331,556.8
"332","LOC381565",332,557.9
"333","LOC669253",333,559.7
"334","2900006N09Rik",334,561.2
"335","LOC670237",335,562.5
"336","LOC100044363",336,563.8
"337","ENSMUSG00000049427",337,565.9
"338","AU042671",338,567.3
"339","LOC214151",339,568.8
"340","LOC100042964",340,570.1
"341","A930024F17Rik",341,572.3
"342","LOC637809",342,574.4
"343","4930427E19Rik",343,576
"344","LOC386158",344,577.5
"345","C130058G02Rik",345,579
"346","Rpl21-ps3",346,580.2
"347","A030007I19Rik",347,581.8
"348","IGHV1S123_AF025448_Ig_heavy_variable_1S123_197",348,583.9
"349","LOC385030",349,585.4
"350","4930415J05Rik",350,587.3
"351","LOC100048514",351,588.8
"352","2610034E18Rik",352,590
"353","AV344025",353,591.1
"354","LOC380992",354,594.6
"355","LOC100043536",355,596
"356","D030018F01Rik",356,597.8
"357","A230106M20",357,599.1
"358","E430021E22Rik",358,601.5
"359","2900083I11Rik",359,602.8
"360","EG668725",360,604.1
"361","LOC100048365",361,605.8
"362","2510016D11Rik",362,607.1
"363","D830035G05Rik",363,608.4
"364","LOC627476",364,609.6
"365","LOC385319",365,610.7
"366","EG654432",366,611.9
"367","Scgb2b1",367,613.1
"368","9530002K18Rik",368,615.2
"369","EG665903",369,616.4
"370","LOC100044766",370,617.6
"371","LOC236365",371,619.2
"372","EG666169",372,620.5
"373","LOC100041194",373,621.6
"374","Ssfa1",374,623.4
"375","1700008G05Rik",375,624.6
"376","LOC241293",376,625.8
"377","2210012C09Rik",377,627
"378","LOC632784",378,628.7
"379","D630028M02Rik",379,630.2
"380","Gm804",380,632.4
"381","LOC384448",381,634.2
"382","B130034E13Rik",382,635.4
"383","9630058G16Rik",383,636.5
"384","scl0003381.1_13",384,637.6
"385","A630025O09Rik",385,638.9
"386","2310047M15Rik",386,640.2
"387","5930402G23Rik",387,641.3
"388","LOC385192",388,642.6
"389","LOC381799",389,643.9
"390","LOC666466",390,645
"391","LOC626061",391,646.1
"392","LOC384105",392,647.3
"393","LOC100048579",393,648.4
"394","LOC381663",394,650.8
"395","LOC193045",395,652.2
"396","mtDNA_ATP6",396,653.4
"397","4933403G17Rik",397,654.5
"398","Mil1-pending",398,656
"399","6430561B16Rik",399,657.8
"400","B230220B15Rik",400,659
"401","Zfp694",401,660.2
"402","A130098D12Rik",402,661.5
"403","LOC385468",403,662.7
"404","A630039F22Rik",404,664.2
"405","LOC382308",405,665.4
"406","E130301F19Rik",406,666.6
"407","LOC100046800",407,667.7
"408","LOC666792",408,669.3
"409","LOC385838",409,670.4
"410","4930550G17Rik",410,671.6
"411","Gm10268",411,672.9
"412","E230017H14Rik",412,674.2
"413","1600010O03Rik",413,675.4
"414","5530401P20Rik",414,677.1
"415","5730530J16Rik",415,679.3
"416","LOC100045793",416,680.9
"417","4732490P12",417,682
"418","LOC671060",418,683.3
"419","Septin 7",419,684.5
"420","LOC382849",420,686.5
"421","LOC380652",421,687.6
"422","2410187C16Rik",422,688.7
"423","LOC380826",423,690.5
"424","scl0004052.1_76",424,691.6
"425","LOC380947",425,692.9
"426","LOC100047839",426,694
"427","6230424H07Rik",427,695.2
"428","LOC100046932",428,696.4
"429","A130071D18Rik",429,698.4
"430","Zfp278",430,699.6
"431","2410078J06Rik",431,700.8
"432","ND5",432,701.1
"433","LOC331012",433,701.9
"434","LOC227397",434,703.2
"435","E430029J22Rik",435,704.3
"436","LOC268717",436,705.7
"437","1110001D15Rik",437,707
"438","LOC100043444",438,708.4
"439","Bat2d",439,710.2
"440","C230066H16Rik",440,712.1
"441","D430044G20Rik",441,714.1
"442","LOC329443",442,716.5
"443","Sec8",443,717.7
"444","LOC383691",444,718.9
"445","LOC383563",445,720.7
"446","D130008K01Rik",446,722.3
"447","LOC382064",447,723.4
"448","1700096C12Rik",448,725.2
"449","EG382109",449,726.3
"450","LOC386156",450,727.5
"451","LOC384047",451,728.7
"452","4931412M21",452,730.2
"453","V1rb10",453,731.3
"454","LOC331066",454,734.1
"455","LOC100045341",455,735.2
"456","LOC383412",456,737
"457","EG574403",457,738.9
"458","9330210B09Rik",458,740.8
"459","9629812_772_rc",459,741.9
"460","6130401J04Rik",460,743.7
"461","LOC242235",461,745.2
"462","scl0003425.1_488",462,746.8
"463","LOC383408",463,748.5
"464","2210409H10Rik",464,751.1
"465","A030009B12Rik",465,752.3
"466","LOC100047496",466,753.4
"467","LOC232889",467,754.6
"468","D930005G01Rik",468,756.1
"469","LOC332538",469,757.7
"470","LOC545867",470,758.9
"471","4930522L02Rik",471,760.3
"472","2510025K24Rik",472,761.4
"473","9530053H22",473,763.3
"474","5330434F23Rik",474,765
"475","LOC665792",475,766.1
"476","2310022K01Rik",476,767.4
"477","LOC380738",477,768.8
"478","LOC640543",478,770.1
"479","LOC241251",479,771.2
"480","LOC381214",480,772.3
"481","LOC209371",481,773.8
"482","A330058L12Rik",482,776.3
"483","LOC383586",483,777.5
"484","1700011H22Rik",484,778.7
"485","LOC383709",485,780.6
"486","LOC382812",486,781.7
"487","9030411M15Rik",487,782.9
"488","LOC102631589",488,784.1
"489","LOC667411",489,785.2
"490","LOC384159",490,787.3
"491","G430060O14Rik",491,788.5
"492","LOC381803",492,792
"493","A930037J23Rik",493,793.9
"494","2900054J07Rik",494,795.3
"495","LOC386252",495,796.9
"496","LOC100043518",496,798.5
"497","LOC675954",497,799.8
"498","LOC386126",498,802.3
"499","LOC382953",499,803.4
"500","LOC677369",500,804.6
"501","GPR37",501,806
"502","LOC100045340",502,807.1
"503","LOC385122",503,808.4
"504","C130019M09Rik",504,809.7
"505","AW125296",505,811.4
"506","LOC381418",506,813
"507","D030026A21Rik",507,814.2
"508","LOC328832",508,815.4
"509","1110033K02Rik",509,816.9
"510","LOC385323",510,818.3
"511","Gm11956",511,819.4
"512","LOC381651",512,821.3
"513","B230343B06Rik",513,822.5
"514","LOC385111",514,823.8
"515","6446580_669",515,824.9
"516","6330419D11Rik",516,826.4
"517","LOC100047184",517,827.6
"518","Arid1b",518,828.3
"519","LOC667519",519,829.4
"520","LOC383373",520,830.9
"521","LOC384049",521,832.1
"522","B230334K19Rik",522,833.8
"523","2810450N13Rik",523,836
"524","Dncli2",524,837.1
"525","C730048C13Rik",525,838.3
"526","5830431I07Rik",526,839.5
"527","LOC384521",527,840.7
"528","LOC381983",528,842.7
"529","LOC383722",529,843.9
"530","LOC384345",530,845.2
"531","LOC384976",531,846.5
"532","scl0001185.1_221",532,849.6
"533","2310016D23Rik",533,850.7
"534","LOC386181",534,852.1
"535","LOC381351",535,853.9
"536","LOC382785",536,855.2
"537","LOC244115",537,856.7
"538","LOC278087",538,858.7
"539","LOC384632",539,860.5
"540","LOC382229",540,861.7
"541","LOC381340",541,863
"542","B930096H04Rik",542,864.1
"543","Gsdmc1",543,865.3
"544","Gm10166",544,866.8
"545","LOC381376",545,868
"546","LOC382933",546,869.4
"547","9230101E03Rik",547,870.5
"548","LOC547329",548,871.7
