"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"Ppia",475,0.010336727157657,41
"Ubc",12150,0.0225540326206196,34
"Rpl19",22638,0.0310579155299704,41
"Rn18s",23516,0.0317096350619095,27
"Gapdh",30739,0.0382778030986852,42
"Hprt",37488,0.0484531666298767,43
