"SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"Ppia",2710,0.0137436743553651,41
"Ubc",16356,0.0289721291498743,34
"Rpl19",23416,0.0353013667528677,41
"Gapdh",26153,0.0378568658865585,42
"Rn18s",29041,0.041017807175492,27
"Hprt",35624,0.0505489429266536,43
